T,nh,year,villid,thanaid,agehead,sexhead,educhead,famsize,hhland,hhasset,expfd,expnfd,exptot,dmmfd,dfmfd,vaccess,pcirr,rice,wheat,milk,potato,egg,oil,vill,D
0,22044,1998,34,2,55,1,0,6,5,3498.4438,1571.4801,166.12524,1737.6053,0,0,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,34,0
0,22054,1998,34,2,40,1,0,2,1,947.35419,2599.8105,1810.7998,4410.6104,0,0,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,34,0
1,22091,1998,34,2,41,1,0,4,11,6190,1318.1757,521.0448,1839.2205,0,1,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,34,1
1,22121,1998,34,2,53,0,0,1,1,1,3093.7881,420.21924,3514.0073,0,1,1,.85000002,9.0224209,6.0901341,8.1201782,6.1053057,1.6917039,35.187439,34,1
0,23044,1998,66,2,55,1,0,8,16,16868.316,1085.9047,107.42322,1193.3279,0,0,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,66,0
0,23054,1998,66,2,27,1,0,3,1,1119.908,1428.0236,244.95874,1672.9823,0,0,1,.75,10.150224,6.0901341,8.1201782,6.8684692,1.6917039,35.187439,66,0
0,31014,1998,3,3,42,1,10,8,3,272465.84,3921.0313,1555.522,5476.5532,0,0,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,3,0
0,31024,1998,3,3,50,1,12,6,32,1355562.5,5295.71,3779.2666,9074.9766,0,0,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,3,0
1,31091,1998,3,3,50,1,3,6,4.5,98800,3732.1245,552.62305,4284.7476,0,1,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,3,0
1,31101,1998,3,3,35,1,0,4,1,16845,3725.8086,735.89111,4461.6997,0,1,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,3,1
0,31111,1998,3,3,70,1,4,9,12,704229.31,6638.3965,937.57959,7575.9761,0,0,1,.15000001,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,3,0
0,32014,1998,35,3,70,1,0,2,3.25,217864.41,6810.7998,1596.9688,8407.7686,0,0,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,35,0
0,32044,1998,35,3,32,1,3,5,1,7781.8379,3020.7065,529.16479,3549.8713,0,0,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,35,0
0,32064,1998,35,3,40,1,12,9,176,594667.81,4851.356,1652.6064,6503.9624,0,0,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,35,0
1,32121,1998,35,3,66,0,0,5,6,54780,8804.4395,16172.688,24977.127,0,1,1,.1,9.6991024,6.0901341,13.533631,6.5632038,2.0300446,37.894169,35,1
0,33034,1998,67,3,65,0,0,2,2,35099.473,5935.1738,876.30273,6811.4766,0,0,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,67,1
0,33064,1998,67,3,35,1,0,18,342,384456.63,3221.9065,785.70239,4007.6089,0,0,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,67,0
1,33131,1998,67,3,35,1,0,6,1.5,23100,3465.512,911.2644,4376.7764,1,0,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,67,1
0,33141,1998,67,3,25,1,0,3,1,575.17932,4284.7476,765.77783,5050.5254,0,0,1,.40000001,10.375784,6.7668157,13.533631,7.0211015,2.0300446,40.600895,67,1
1,41011,1998,4,4,48,1,2,9,8,15405,1403.2872,278.19128,1681.4785,0,1,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,4,1
0,41054,1998,4,4,40,1,0,5,10,26979.297,2265.5298,265.80054,2531.3303,0,0,1,.69999999,9.3607616,8.1201782,8.1201782,6.3342547,1.3533632,40.600895,4,0
0,42034,1998,36,4,60,1,4,5,78,54188.656,3845.1753,871.56592,4716.7412,0,0,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,36,0
1,42041,1998,36,4,45,1,0,6,3,10170,2099.5173,685.13989,2784.6572,1,0,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,36,0
0,42044,1998,36,4,28,1,0,4,12.5,19894.438,2392.7461,378.0957,2770.8418,0,0,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,36,0
1,42112,1998,36,4,35,1,0,4,2,17280,2999.3909,635.23486,3634.6257,1,0,1,.60000002,10.375784,7.4434972,8.1201782,7.0211015,1.3533632,47.36771,36,1
0,43024,1998,68,4,27,1,0,4,9,89254.297,2062.8638,773.10864,2835.9724,0,0,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,68,0
0,43044,1998,68,4,37,1,6,4,33,47585,4787.8604,2306.6382,7094.4985,0,0,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,68,0
1,43051,1998,68,4,40,1,0,6,7,29700,3072.1343,1736.252,4808.3862,0,1,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,68,1
1,43111,1998,68,4,37,1,5,4,1,805,2313.5742,964.27124,3277.8455,0,1,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,68,1
1,43121,1998,68,4,40,0,0,2,2,9570,3131.6821,962.57959,4094.2617,0,1,1,.60000002,9.0224209,7.4434972,8.1201782,6.1053057,1.6917039,47.36771,68,1
0,51014,1998,5,5,28,1,0,2,4,11043.443,4345.6489,703.74902,5049.3979,0,0,0,.5,9.4735422,6.7668157,10.150224,6.4105711,2.0300446,37.217487,5,0
0,51044,1998,5,5,28,1,3,3,150,311476.5,8969.1885,1594.7129,10563.901,0,0,0,.5,9.4735422,6.7668157,10.150224,6.4105711,2.0300446,37.217487,5,0
1,51111,1998,5,5,50,1,0,6,10,27900,2403.1216,415.03149,2818.1531,0,1,0,.5,9.4735422,6.7668157,10.150224,6.4105711,2.0300446,37.217487,5,1
0,53024,1998,69,5,35,1,0,3,10,38449.047,6509.6768,2208.2373,8717.9141,0,0,1,.050000001,15.450896,6.7668157,10.826905,10.455337,2.3683856,43.307621,69,0
0,61044,1998,6,6,40,1,0,6,4,32345.379,2341.3181,777.05615,3118.3743,0,0,1,.60000002,10.150224,9.4735422,16.240356,6.8684692,2.5375559,37.894169,6,1
1,61121,1998,6,6,60,1,0,8,39,77550,3116.1187,475.36865,3591.4873,0,1,1,.60000002,10.150224,9.4735422,16.240356,6.8684692,2.5375559,37.894169,6,1
0,62034,1998,38,6,30,1,0,3,3,22364.326,3741.1467,418.41479,4159.5615,0,0,1,.64999998,9.9246626,8.1201782,16.240356,6.715836,2.7067263,37.894169,38,1
1,62041,1998,38,6,40,1,0,4,4,24970,4752.3345,473.67725,5226.0117,0,1,1,.64999998,9.9246626,8.1201782,16.240356,6.715836,2.7067263,37.894169,38,1
0,62051,1998,38,6,25,1,0,4,2,2842.0627,2673.5688,321.42383,2994.9927,0,0,1,.64999998,9.9246626,8.1201782,16.240356,6.715836,2.7067263,37.894169,38,0
1,62071,1998,38,6,45,1,4,4,3,20600,5452.7002,1336.4458,6789.146,0,1,1,.64999998,9.9246626,8.1201782,16.240356,6.715836,2.7067263,37.894169,38,1
1,62091,1998,38,6,40,1,0,7,5,35000,3846.6445,757.8833,4604.5278,0,1,1,.64999998,9.9246626,8.1201782,16.240356,6.715836,2.7067263,37.894169,38,1
0,63044,1998,70,6,40,1,0,8,7,109595.35,2176.2078,239.37622,2415.584,0,0,1,.69999999,13.08251,8.1201782,13.533631,8.8526936,2.5375559,33.834076,70,0
1,63051,1998,70,6,57,1,8,3,4,74750,6728.0195,877.42969,7605.4492,0,1,1,.69999999,13.08251,8.1201782,13.533631,8.8526936,2.5375559,33.834076,70,0
1,63091,1998,70,6,40,1,5,4,1,15900,3886.8589,279.13086,4165.9897,0,1,1,.69999999,13.08251,8.1201782,13.533631,8.8526936,2.5375559,33.834076,70,1
1,71031,1998,7,7,75,1,0,12,13,48150,2491.0903,758.44727,3249.5376,0,1,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,2.0300446,40.600895,7,1
0,71054,1998,7,7,60,1,0,5,20,158066.03,4275.5444,1898.498,6174.0425,0,0,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,2.0300446,40.600895,7,0
1,71101,1998,7,7,45,0,3,1,1,3375,6958.9932,6949.5195,13908.513,0,1,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,2.0300446,40.600895,7,1
0,72014,1998,39,7,55,1,8,8,24,789755.06,7056.9429,8566.7891,15623.731,0,0,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,1.6917039,43.307621,39,0
0,72021,1998,39,7,28,1,0,3,1,947.35419,3867.0095,1604.863,5471.8726,0,0,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,1.6917039,43.307621,39,0
1,72024,1998,39,7,45,0,0,5,1.5,5481.5,2616.3215,665.98999,3282.3115,0,1,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,1.6917039,43.307621,39,1
1,72061,1998,39,7,42,1,0,6,2,7500,6440.6548,4116.479,10557.134,0,1,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,1.6917039,43.307621,39,1
1,72071,1998,39,7,42,1,0,6,1,26850,5792.394,3773.6274,9566.0215,0,1,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,1.6917039,43.307621,39,1
1,72091,1998,39,7,38,1,0,7,21,94825,4126.2109,2686.3286,6812.5396,0,1,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,1.6917039,43.307621,39,1
1,72121,1998,39,7,80,1,0,5,4,29450,3239.9512,881.58057,4121.5317,0,1,1,.89999998,10.826905,8.7968597,9.4735422,7.3263669,1.6917039,43.307621,39,1
1,73031,1998,71,7,68,1,0,6,1,2185,2765.823,386.04712,3151.8701,1,0,1,.94999999,9.3607616,6.7668157,8.1201782,6.3342547,1.6917039,43.307621,71,1
0,73064,1998,71,7,56,0,0,5,48,69089.188,3703.3428,954.79736,4658.1401,0,0,1,.94999999,9.3607616,6.7668157,8.1201782,6.3342547,1.6917039,43.307621,71,0
1,73091,1998,71,7,40,1,0,2,1,1280,5255.1089,1049.5332,6304.6421,0,1,1,.94999999,9.3607616,6.7668157,8.1201782,6.3342547,1.6917039,43.307621,71,1
0,81011,1998,8,8,58,1,3,4,7.5100002,17640,2089.2544,839.08496,2928.3394,0,0,1,.97000003,13.984752,8.1201782,9.4735422,9.4632235,2.0300446,37.894169,8,0
0,81041,1998,8,8,42,1,4,5,10,17660,3686.8318,399.24194,4086.0737,0,0,1,.97000003,13.984752,8.1201782,9.4735422,9.4632235,2.0300446,37.894169,8,0
0,81054,1998,8,8,38,1,0,5,25,33556.637,2353.2278,387.06201,2740.2898,0,0,1,.97000003,13.984752,8.1201782,9.4735422,9.4632235,2.0300446,37.894169,8,0
1,81071,1998,8,8,36,1,0,5,5.625,10250,4043.5784,462.17358,4505.752,1,0,1,.97000003,13.984752,8.1201782,9.4735422,9.4632235,2.0300446,37.894169,8,1
1,82024,1998,40,8,38,1,2,5,1,3330,2543.24,778.18359,3321.4236,0,1,1,.99000001,13.533631,8.1201782,10.826905,9.157959,2.0300446,37.894169,40,1
1,82091,1998,40,8,40,1,0,5,1,3040,2510.7593,420.21924,2930.9785,0,1,1,.99000001,13.533631,8.1201782,10.826905,9.157959,2.0300446,37.894169,40,1
1,82111,1998,40,8,52,1,0,5,32.5,67240,2205.9819,1079.3071,3285.2891,1,0,1,.99000001,13.533631,8.1201782,10.826905,9.157959,2.0300446,37.894169,40,1
1,83011,1998,72,8,58,1,0,4,1,9050,4410.6104,656.71924,5067.3296,1,0,1,.98000002,13.30807,7.4434972,10.826905,9.0053253,2.0300446,37.894169,72,0
1,83041,1998,72,8,54,1,0,4,7,21370,3159.4263,839.93091,3999.3572,0,1,1,.98000002,13.30807,7.4434972,10.826905,9.0053253,2.0300446,37.894169,72,1
1,83091,1998,72,8,42,1,0,9,5,50520,2030.9469,633.07312,2664.02,1,0,1,.98000002,13.30807,7.4434972,10.826905,9.0053253,2.0300446,37.894169,72,1
1,83111,1998,72,8,49,1,0,3,5.0099998,5006,2868.2275,954.12085,3822.3484,1,0,1,.98000002,13.30807,7.4434972,10.826905,9.0053253,2.0300446,37.894169,72,1
0,91044,1998,9,9,36,1,5,7,23.5,51820.273,2800.3015,762.23364,3562.5352,0,0,1,.89999998,10.826905,7.4434972,6.7668157,7.3263669,1.6917039,37.894169,9,0
1,92034,1998,41,9,45,1,0,6,3,7490,2384.8513,600.66772,2985.519,1,0,1,.94,9.6991024,6.7668157,6.7668157,6.5632038,1.6917039,40.600895,41,1
1,92092,1998,41,9,36,1,1,12,3,15500,3260.9285,1128.4792,4389.4077,1,0,1,.94,9.6991024,6.7668157,6.7668157,6.5632038,1.6917039,40.600895,41,1
0,93024,1998,73,9,29,1,0,3,11,8424.6846,2778.9055,649.16333,3428.0688,0,0,1,.94,10.150224,7.4434972,6.7668157,6.8684692,1.3533632,40.600895,73,0
0,93034,1998,73,9,66,1,0,5,40,30491.271,2244.0112,293.00317,2537.0144,0,0,1,.94,10.150224,7.4434972,6.7668157,6.8684692,1.3533632,40.600895,73,0
0,93054,1998,73,9,66,1,2,2,20,13909.189,1854.1074,218.22974,2072.3372,0,0,1,.94,10.150224,7.4434972,6.7668157,6.8684692,1.3533632,40.600895,73,1
0,101044,1998,10,10,65,1,0,6,20,29570.986,2579.0588,415.93384,2994.9927,0,0,1,.76999998,8.5712996,8.1201782,8.1201782,5.8000402,1.6917039,43.307621,10,0
0,102014,1998,42,10,28,1,5,3,6,12484.775,3798.4392,475.93237,4274.3716,0,0,1,.75,8.5712996,8.1201782,8.1201782,5.8000402,1.6917039,43.307621,42,0
1,102034,1998,42,10,55,1,0,6,4,9500,3711.3726,1083.2544,4794.627,1,0,1,.75,8.5712996,8.1201782,8.1201782,5.8000402,1.6917039,43.307621,42,1
1,102052,1998,42,10,50,1,0,6,7,7700,3757.8384,1070.7354,4828.5737,1,0,1,.75,8.5712996,8.1201782,8.1201782,5.8000402,1.6917039,43.307621,42,1
1,102092,1998,42,10,55,1,0,5,10,10950,3889.0244,2436.5947,6325.6191,1,0,1,.75,8.5712996,8.1201782,8.1201782,5.8000402,1.6917039,43.307621,42,1
1,103034,1998,74,10,60,1,0,7,48,50100,2381.1458,646.71411,3027.8599,1,0,1,.75,8.5712996,8.1201782,8.1201782,5.8000402,1.6917039,23.007174,74,1
1,103042,1998,74,10,42,1,5,5,18,40440,4667.4785,1592.9082,6260.3867,0,1,1,.75,8.5712996,8.1201782,8.1201782,5.8000402,1.6917039,23.007174,74,1
1,111022,1998,11,11,45,1,1,7,5,15770,3332.7534,636.08081,3968.8342,1,0,1,.1,10.263003,9.4735422,12.180268,6.9447851,1.6917039,40.600895,11,1
1,111032,1998,11,11,42,1,0,5,6,6705,6226.5527,2974.8271,9201.3799,1,0,1,.1,10.263003,9.4735422,12.180268,6.9447851,1.6917039,40.600895,11,1
1,111062,1998,11,11,63,1,1,8,3,16082,3140.479,932.97485,4073.4539,1,0,1,.1,10.263003,9.4735422,12.180268,6.9447851,1.6917039,40.600895,11,1
1,112014,1998,43,11,25,1,0,3,7,27220,4036.1797,592.09668,4628.2764,0,1,1,.2,9.2479811,8.1201782,10.826905,6.2579384,1.6917039,40.600895,43,0
0,112024,1998,43,11,70,1,0,6,15,27371.768,2876.3477,949.60986,3825.9575,0,0,1,.2,9.2479811,8.1201782,10.826905,6.2579384,1.6917039,40.600895,43,0
0,112034,1998,43,11,42,0,5,4,91,216876.42,4201.1772,14166.328,18367.506,0,0,1,.2,9.2479811,8.1201782,10.826905,6.2579384,1.6917039,40.600895,43,0
0,112062,1998,43,11,22,1,5,2,2,4723.2373,3061.3074,543.03687,3604.3442,0,0,1,.2,9.2479811,8.1201782,10.826905,6.2579384,1.6917039,40.600895,43,0
0,112072,1998,43,11,40,0,0,6,10,17238.463,2159.7419,320.07056,2479.8125,0,0,1,.2,9.2479811,8.1201782,10.826905,6.2579384,1.6917039,40.600895,43,0
1,112112,1998,43,11,55,1,0,4,46,54830,4315.875,1075.9238,5391.7988,1,0,1,.2,9.2479811,8.1201782,10.826905,6.2579384,1.6917039,40.600895,43,1
0,113014,1998,75,11,42,1,3,6,10,17208.012,2312.7847,586.11914,2898.9038,0,0,1,.30000001,10.037443,6.7668157,11.503587,6.7921524,1.5225335,50.751118,75,0
1,113025,1998,75,11,27,1,8,3,1,1,6377.9492,2140.7949,8518.7441,0,1,1,.30000001,10.037443,6.7668157,11.503587,6.7921524,1.5225335,50.751118,75,1
1,113034,1998,75,11,39,1,0,5,46,27028,3459.196,959.39917,4418.5952,0,1,1,.30000001,10.037443,6.7668157,11.503587,6.7921524,1.5225335,50.751118,75,1
1,113052,1998,75,11,29,1,0,3,3,4503,3585.5098,531.4209,4116.9307,1,0,1,.30000001,10.037443,6.7668157,11.503587,6.7921524,1.5225335,50.751118,75,1
1,113082,1998,75,11,34,1,6,7,8,15240,3624.3064,850.87866,4475.1851,1,0,1,.30000001,10.037443,6.7668157,11.503587,6.7921524,1.5225335,50.751118,75,1
1,113102,1998,75,11,30,1,0,4,2,4965,4660.644,567.73584,5228.3799,1,0,1,.30000001,10.037443,6.7668157,11.503587,6.7921524,1.5225335,50.751118,75,1
0,121024,1998,12,12,27,1,0,3,6,11388.551,4739.252,1246.6729,5985.9248,0,0,1,.050000001,11.954707,8.1201782,10.826905,8.08953,2.3683856,40.600895,12,0
0,121034,1998,12,12,50,1,5,6,10,37318.988,6156.8999,3104.8403,9261.7402,0,0,1,.050000001,11.954707,8.1201782,10.826905,8.08953,2.3683856,40.600895,12,0
1,121092,1998,12,12,45,1,0,7,1,9036,3336.6199,812.69458,4149.3145,1,0,1,.050000001,11.954707,8.1201782,10.826905,8.08953,2.3683856,40.600895,12,0
1,121102,1998,12,12,36,1,0,5,7,8300,2335.634,422.38477,2758.0188,1,0,1,.050000001,11.954707,8.1201782,10.826905,8.08953,2.3683856,40.600895,12,1
1,122022,1998,44,12,30,1,0,4,8,10315,2426.9185,447.79395,2874.7124,1,0,1,.050000001,8.7968597,6.0901341,9.4735422,5.9526725,1.6917039,37.894169,44,1
0,122034,1998,44,12,70,1,0,7,219,341345.25,3748.4292,2500.8213,6249.2505,0,0,1,.050000001,8.7968597,6.0901341,9.4735422,5.9526725,1.6917039,37.894169,44,0
0,122062,1998,44,12,47,0,0,7,20,29882.258,3186.01,496.39429,3682.4043,0,0,1,.050000001,8.7968597,6.0901341,9.4735422,5.9526725,1.6917039,37.894169,44,0
1,122122,1998,44,12,30,1,0,2,28,10225,4191.3657,2138.3135,6329.6792,1,0,1,.050000001,8.7968597,6.0901341,9.4735422,5.9526725,1.6917039,37.894169,44,1
0,123044,1998,76,12,38,1,0,6,12,9541.21,1336.2205,276.87549,1613.0959,0,0,0,.5,8.7968597,6.0901341,8.1201782,5.9526725,1.6917039,40.600895,76,0
1,131022,1998,13,13,29,1,0,4,2,2098,2354.175,857.69385,3211.8689,1,0,1,.40000001,9.4735422,6.0901341,13.533631,6.4105711,1.3533632,37.894169,13,1
1,132042,1998,45,13,29,1,16,3,20,56450,5082.3296,885.3252,5967.6548,1,0,1,.5,8.5712996,6.7668157,13.533631,5.8000402,1.6917039,35.187439,45,1
1,132092,1998,45,13,56,1,0,5,27,45239,3297.6047,451.48169,3749.0864,1,0,1,.5,8.5712996,6.7668157,13.533631,5.8000402,1.6917039,35.187439,45,1
1,133012,1998,77,13,41,1,0,5,3,7250,2784.1384,1144.2686,3928.407,0,1,1,.75,8.9096403,6.7668157,12.180268,6.0289893,1.3533632,33.834076,77,1
0,133062,1998,77,13,34,1,14,4,66,79134.523,6540.1274,9459.6699,15999.797,0,0,1,.75,8.9096403,6.7668157,12.180268,6.0289893,1.3533632,33.834076,77,0
1,141012,1998,14,14,70,1,3,3,4,5220,3518.7441,527.81152,4046.5557,0,1,0,.12,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,14,1
0,141014,1998,14,14,35,1,1,5,3,11523.886,2286.9131,493.97754,2780.8906,0,0,0,.12,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,14,0
0,141044,1998,14,14,36,1,2,5,20,31546.895,2060.9014,612.39673,2673.2981,0,0,0,.12,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,14,0
0,141054,1998,14,14,36,1,10,5,19,66544.867,2806.875,578.56274,3385.4377,0,0,0,.12,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,14,0
1,142022,1998,46,14,65,1,3,10,7,43560,3943.9707,631.75,4575.7207,1,0,0,.050000001,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,46,1
0,142064,1998,46,14,50,1,4,3,13,84246.852,5059.7734,9674.291,14734.064,0,0,0,.050000001,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,46,0
1,142082,1998,46,14,50,1,0,6,10,52210,3025.4431,400.03149,3425.4746,1,0,0,.050000001,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,46,1
0,143024,1998,78,14,66,1,3,5,33,23088.375,2222.7637,964.94775,3187.7114,0,0,0,0,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,78,0
0,143054,1998,78,14,47,1,15,5,132,182974.69,4455.2715,2364.3252,6819.5967,0,0,0,0,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,78,0
0,143082,1998,78,14,42,0,9,3,331,325382.31,3959.9404,1996.2104,5956.1509,0,0,0,0,10.826905,8.1201782,10.826905,7.3263669,1.6917039,40.600895,78,0
0,151044,1998,15,15,48,1,0,8,46,89291.516,4398.4302,1316.3149,5714.7451,0,0,1,.89999998,9.2479811,8.1201782,7.4434972,6.2579384,2.0300446,40.600895,15,0
0,152044,1998,47,15,68,1,0,2,12,35255.109,4134.5244,471.64697,4606.1714,0,0,1,.89999998,10.375784,8.7968597,8.7968597,7.0211015,2.0300446,40.600895,47,0
1,152062,1998,47,15,38,1,0,5,1,75,2249.8308,2491.1355,4740.9663,1,0,1,.89999998,10.375784,8.7968597,8.7968597,7.0211015,2.0300446,40.600895,47,1
1,152072,1998,47,15,40,1,0,8,1,7600,2502.03,473.33887,2975.3689,1,0,1,.89999998,10.375784,8.7968597,8.7968597,7.0211015,2.0300446,40.600895,47,1
1,152082,1998,47,15,55,0,0,4,1,3130,3033.9019,1297.0293,4330.9312,0,1,1,.89999998,10.375784,8.7968597,8.7968597,7.0211015,2.0300446,40.600895,47,1
1,152102,1998,47,15,38,1,1,6,2,16110,3565.4351,541.34521,4106.7803,1,0,1,.89999998,10.375784,8.7968597,8.7968597,7.0211015,2.0300446,40.600895,47,1
1,153112,1998,79,15,30,1,0,4,10,33750,4063.811,1712.0044,5775.8154,0,1,1,.89999998,6.8795962,6.7668157,8.1201782,4.6552958,2.0300446,35.187439,79,0
0,161014,1998,16,16,40,1,0,5,8,23128.975,1780.4845,3669.1025,5449.5869,0,0,1,.75,9.6991024,6.7668157,8.1201782,6.5632038,2.0300446,32.480713,16,0
1,161022,1998,16,16,35,1,0,4,2,16900,2969.9553,433.92212,3403.8774,1,0,1,.75,9.6991024,6.7668157,8.1201782,6.5632038,2.0300446,32.480713,16,1
0,161034,1998,16,16,57,1,2,5,11,25071.053,1731.222,150.22327,1881.4453,0,0,1,.75,9.6991024,6.7668157,8.1201782,6.5632038,2.0300446,32.480713,16,0
1,161042,1998,16,16,48,1,0,6,7,15550,1765.2367,1038.7059,2803.9426,0,1,1,.75,9.6991024,6.7668157,8.1201782,6.5632038,2.0300446,32.480713,16,1
0,161054,1998,16,16,22,1,4,3,2,12044.932,3495.2859,762.39429,4257.6802,0,0,1,.75,9.6991024,6.7668157,8.1201782,6.5632038,2.0300446,32.480713,16,0
1,161072,1998,16,16,55,0,0,5,10,37000,3110.5696,1297.0632,4407.6328,1,0,1,.75,9.6991024,6.7668157,8.1201782,6.5632038,2.0300446,32.480713,16,1
0,161092,1998,16,16,18,1,0,2,1,4303.6948,3365.1375,740.28931,4105.4268,0,0,1,.75,9.6991024,6.7668157,8.1201782,6.5632038,2.0300446,32.480713,16,0
1,162032,1998,48,16,42,1,5,5,1,8700,2519.4207,636.08081,3155.5015,1,0,1,.55000001,9.6991024,6.7668157,8.1201782,6.5632038,1.6917039,32.480713,48,0
1,163032,1998,80,16,50,1,0,6,13,23800,3429.873,620.29175,4050.1648,1,0,1,.94999999,9.9246626,7.1051564,8.1201782,6.715836,1.6917039,47.36771,80,0
0,163034,1998,80,16,58,1,0,3,2.5,7612.668,2445.0759,203.45557,2648.5315,0,0,1,.94999999,9.9246626,7.1051564,8.1201782,6.715836,1.6917039,47.36771,80,0
1,163044,1998,80,16,42,1,0,4,16,21280,3775.2063,3013.2629,6788.4692,0,1,1,.94999999,9.9246626,7.1051564,8.1201782,6.715836,1.6917039,47.36771,80,1
1,163122,1998,80,16,35,1,0,6,1,8800,3014.3906,1742.4551,4756.8457,1,0,1,.94999999,9.9246626,7.1051564,8.1201782,6.715836,1.6917039,47.36771,80,1
