label,data_name,description,type,vis_conditions,choices_s,,,,,,
"Before an enumerator starts asking household related questions he/she needs to explain the meaning of who the member of household (HH) that should be interviewed is. A household is composed of a family and its relatives who normally eat and live together and who make economic decisions. Unless otherwise noted, the primary respondent for the questionnaire is the head of household. The head of household is the member of the household acknowledged as head by the other household members either by virtue of his/her age or standing in the household as the chief income earner/takes major decisions. The head has primary authority and responsibility for household affairs.

How many people normally stay in this household including those in boarding school or those who have gone to visit? 
",before_an_enumerator_starts_asking_household_related_questions_heshe_needs_to_explain_the_meaning_of_who_the_member_of_household_hh_that_should_be_interviewed_is_a_household_is_composed_of_a_family_and_its_relatives_who_normally_eat_and_live_together_and_who_make_economic_decisions_unless_otherwise_noted_the_primary_respondent_for_the_questionnaire_is_the_head_of_household_the_head_of_household_is_the_member_of_the_household_acknowledged_as_head_by_the_other_household_members_either_by_virtue_of_hisher_age_or_standing_in_the_household_as_the_chief_income_earnertakes_major_decisions_the_head_has_primary_authority_and_responsibility_for_household_affairshow_many_people_normally_stay_in_this_household_including_those_in_boarding_school_or_those_who_have_gone_to_visit_,null,Label,,,,,,,,
Household Member,household_members,null,Repeatable,,,,,,,,
Name of Household Member,301,null,TextField,,,,,,,,
Sex,302,null,SingleChoice,,"Male:1, Female:2",,,,,,
Relationship to head,303,null,SingleChoice,,"Head:1, Wife/Husband:2, Son/Daughter:3, Son-in-Law/Daughter-in-Law:4, Grandchild:5, Parent:6, Parent-in-Law:7, Brother/Sister:8, Co-Wife:9, Niece/Nephew:10, Other Relatives:11, Adopted/Foster/Step Child:12, Not Related:13, Do not know:14",,,,,,
Age in complete years,304,null,TextField,,,,,,,,
Can read or write,305,null,YesNoField,,"Yes:1, No:2",,,,,,
Ever attended school,306,null,YesNoField,,"Yes:1, No:2",,,,,,
Reason never attended,307,null,SingleChoice,Ever attended school equal to 2,"No Money:1, Support Family:2, Disability/Illness:3, School too Far:4, Cultural Barrier:5, Too Young:6, See no value in education:7, Do not know:8",,,,,,
Highest level attained 6+ years,308,null,SingleChoice,Age in complete years greater than 5,"None:0, Primary:1, Secondary:2, Certificate:3, Diploma:4, First Degree:5, Post-Graduate (PGD, Masters, PHD):6, Khalwa:7, Other, specify::8",,,,,,
Specify,308_8_specify,null,TextField,Highest level attained 6+ years equal to 8,,,,,,,
Marital status 12+ years,309,null,SingleChoice,Age in complete years greater than 12,"Never Married:1, Currently Married:2, Cohabitating:3, Widow:4, Separated:5, Divorced:6, Other:7",,,,,,
Specify,309_7_specify,null,TextField,Marital status 12+ years equal to 7,,,,,,,
Mother alive,310,null,YesNoField,,"Yes:1, No:2, Don't Know:8",,,,,,
Mother in HH,311,null,SingleChoice,,"Yes:1, No, but alive and living elsewhere:2, No, but dead:3, No, but do not know if she/he is alive:4",,,,,,
Father alive,312,null,YesNoField,,"Yes:1, No:2, Don't  Know:3",,,,,,
Father in HH,313,null,SingleChoice,,"Yes:1, No, but alive and living elsewhere:2, No, but dead:3, No, but do not know if she/he is alive:4",,,,,,
Economic activity engaged in 10+ years,314,null,SingleChoice,Age in complete years greater than 10,"Crop farming:1, Defense:2, Education:3, Animal Husbandry:4, Trade:5, Public Administration:6, Health:7, Construction:8, Public Servant:9, Other:10",,,,,,
Specify,314_10,null,TextField,Economic activity engaged in 10+ years equal to 10,,,,,,,
Vaccinated for measles (9 - 59 months),315,null,YesNoField,Age in complete years less than 5,"Yes:1, No:2, N/A:3",,,,,,
Livelihood Activities,livelihood_activities,The head of household should be the respondent for this section.,Section,Participant consents to interview equal to 1,,,,,,,
"First, I would like to ask you about the household’s sources of income and food, both livelihood activities and other sources of income or food like remittances or cash assistance. 

The head of household should be the respondent for this section.",first_i_would_like_to_ask_you_about_the_households_sources_of_income_and_food_both_livelihood_activities_and_other_sources_of_income_or_food_like_remittances_or_cash_assistance_the_head_of_household_should_be_the_respondent_for_this_section,null,Label,,,,,,,,
What were all the sources of your household’s food/income over the last 12 months?,what_were_all_the_sources_of_your_households_foodincome_over_the_last_12_months,null,Section,,,,,,,,
Own farming/crop production and sales,401_a,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Own cattle production/fattening and sales,401_b,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Own goats production/fattening and sales,401_c,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Own sheep production/fattening and sales,401_d,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Own fishing and sales,401_e,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Agricultural wage labor (within the village),401_f,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Agricultural wage labor (outside of village),401_g,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Non-agricultural wage labor (within village),401_h,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Non-agricultural wage labor (outside of village),401_i,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Salaried work,401_j,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
"Sale of wild bush products (e.g. bush meat, charcoal, firewood, or gum Arabic)",401_k,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Honey production and sales,401_l,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Petty trade (selling other products) ,401_m,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Petty trade (selling own products),401_n,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Other self-employment / own business (agricultural),401_o,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Other self-employment / own business (non-agricultural),401_p,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
"Rental of land, house, rooms",401_q,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Remittances,401_r,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Gifts / inheritance,401_s,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Safety net food / cash assistance,401_t,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Other (specify): ,401_u,null,SingleChoice,,"Yes:1, No:2, Do Not Know:8, Refused:9",,,,,,
Specify,401_u_specify,null,TextField,Other (specify):  equal to 1,,,,,,,
Rank the top three sources based on the proportion of food/income they provide for your household.,rank_the_top_three_sources_based_on_the_proportion_of_foodincome_they_provide_for_your_household,1 = highest,Section,,,,,,,,
1 = highest,1_highest,null,Label,,,,,,,,
Own farming/crop production and sales,402_a,null,TextField,Own farming/crop production and sales equal to 1,,,,,,,
Own cattle production/fattening and sales,402_b,null,TextField,Own cattle production/fattening and sales equal to 1,,,,,,,
Own goats production/fattening and sales,402_c,null,TextField,Own goats production/fattening and sales equal to 1,,,,,,,
Own sheep production/fattening and sales,402_d,null,TextField,Own sheep production/fattening and sales equal to 1,,,,,,,
Own fishing and sales,402_e,null,TextField,Own fishing and sales equal to 1,,,,,,,
Agricultural wage labor (within the village),402_f,null,TextField,Agricultural wage labor (within the village) equal to 1,,,,,,,
Agricultural wage labor (outside of village),402_g,null,TextField,Agricultural wage labor (outside of village) equal to 1,,,,,,,
Non-agricultural wage labor (within village),402_h,null,TextField,Non-agricultural wage labor (within village) equal to 1,,,,,,,
Non-agricultural wage labor (outside of village),402_i,null,TextField,Non-agricultural wage labor (outside of village) equal to 1,,,,,,,
Salaried work,402_j,null,TextField,Salaried work equal to 1,,,,,,,
"Sale of wild bush products (e.g. bush meat, charcoal, firewood, or gum Arabic)",402_k,null,TextField,"Sale of wild bush products (e.g. bush meat, charcoal, firewood, or gum Arabic) equal to 1",,,,,,,
Honey production and sales,402_l,null,TextField,Honey production and sales equal to 1,,,,,,,
Petty trade (selling other products) ,402_m,null,TextField,Petty trade (selling other products)  equal to 1,,,,,,,
Petty trade (selling own products),402_n,null,TextField,Petty trade (selling own products) equal to 1,,,,,,,
Other self-employment / own business (agricultural),402_o,null,TextField,Other self-employment / own business (agricultural) equal to 1,,,,,,,
Other self-employment / own business (non-agricultural),402_p,null,TextField,Other self-employment / own business (non-agricultural) equal to 1,,,,,,,
"Rental of land, house, rooms",402_q,null,TextField,"Rental of land, house, rooms equal to 1",,,,,,,
Remittances,402_r,null,TextField,Remittances equal to 1,,,,,,,
Gifts / inheritance,402_s,null,TextField,Gifts / inheritance equal to 1,,,,,,,
Safety net food / cash assistance,402_t,null,TextField,Safety net food / cash assistance equal to 1,,,,,,,
Other (specify): ,402_u,null,TextField,Other (specify):  equal to 1,,,,,,,
Food Security and Resilience,food_security_and_resilience,null,Section,Participant consents to interview equal to 1,,,,,,,
The questions refer to the experiences of the individual respondent or of the respondent’s household as a whole. The questions focus on self-reported food-related behaviors and experiences associated with increasing difficulties in accessing food due to resource constraints. The head of household should be the respondent to this section.,the_questions_refer_to_the_experiences_of_the_individual_respondent_or_of_the_respondents_household_as_a_whole_the_questions_focus_on_self_reported_food_related_behaviors_and_experiences_associated_with_increasing_difficulties_in_accessing_food_due_to_resource_constraints_the_head_of_household_should_be_the_respondent_to_this_sectionnow_i_would_like_to_ask_you_some_questions_about_your_food_consumption_in_the_past_12_months,null,Label,,,,,,,,
"During the past 12 months, was there a time when you or others in your household were worried you would not have enough food to eat because of a lack of money or other resources?",422,null,YesNoField,,"Yes:1, No:2",,,,,,
"During the past 12 months, was there a time when you or others in your household were unable to eat healthy and nutritious food because of a lack of money or other resources?",423,null,YesNoField,,"Yes:1, No:2",,,,,,
"During the past 12 months, was there a time when you or others in your household ate only a few kinds of foods because of a lack of money or other resources?",424,null,YesNoField,,"Yes:1, No:2",,,,,,
"During the past 12 months, was there a time when you or others in your household had to skip a meal because there was not enough money or other resources to get food?",425,null,YesNoField,,"Yes:1, No:2",,,,,,
"During the past 12 months, was there a time when you or others in your household ate less than you thought you should because of a lack of money or other resources?",426,null,YesNoField,,"Yes:1, No:2",,,,,,
"During the past 12 months, was there a time when your household did not have food because of a lack of money or other resources?",427,null,YesNoField,,"Yes:1, No:2",,,,,,
"During the past 12 months, was there a time when you or others in your household were hungry but did not eat because there was not enough money or other resources for food?",428,null,YesNoField,,"Yes:1, No:2",,,,,,
"During the past 12 months, was there a time when you or others in your household went without eating for a whole day because of a lack of money or other resources?",429,null,YesNoField,,"Yes:1, No:2",,,,,,
I would like to ask you some more questions about the availability of food in your home in the past 4 weeks. ,now_i_would_like_to_ask_you_some_more_questions_about_the_availability_of_food_in_your_home_in_the_past_4_weeks_,null,Label,,,,,,,,
In the past 4 weeks was there ever no food to eat of any kind in your house because of lack of resources to get food?,430,null,YesNoField,,"Yes:1, No:2",,,,,,
How often did this happen in the past 4 weeks?,431,null,SingleChoice,In the past 4 weeks was there ever no food to eat of any kind in your house because of lack of resources to get food? equal to 1,"Rarely (1-2 times):1, Sometimes (3-10 times):2, Often (more than 10 times):3",,,,,,
In the past 4 weeks did you or any household member go to sleep at night hungry because there was not enough food?,432,null,YesNoField,,"Yes:1, No:2",,,,,,
How often did this happen in the past 4 weeks?,433,null,SingleChoice,In the past 4 weeks did you or any household member go to sleep at night hungry because there was not enough food? equal to 1,"Rarely (1-2 times):1, Sometimes (3-10 times):2, Often (more than 10 times):3",,,,,,
In the past 4 weeks did you or any household member go a whole day and night without eating anything at all because there was not enough food?,434,null,YesNoField,,"Yes:1, No:2",,,,,,
How often did this happen in the past 4 weeks?,435,null,SingleChoice,In the past 4 weeks did you or any household member go a whole day and night without eating anything at all because there was not enough food? equal to 1,"Rarely (1-2 times):1, Sometimes (3-10 times):2, Often (more than 10 times):3",,,,,,
"Next, I will ask you some questions about other kinds of difficult times that people face.",next_i_will_ask_you_some_questions_about_other_kinds_of_difficult_times_that_people_face,null,Label,,,,,,,,
"Thinking again about the past 12 months, did your household face difficult times as a result of having too much rain?",436,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of having too much rain was on your household's economic situation?,437,null,SingleChoice,"Thinking again about the past 12 months, did your household face difficult times as a result of having too much rain? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of having too much rain was on your household's food consumption?,438,null,SingleChoice,"Thinking again about the past 12 months, did your household face difficult times as a result of having too much rain? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of having too little rain? ",439,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of having too little rain was on your household's economic situation?,440,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of having too little rain?  equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of having too little rain was on your household's food consumption?,441,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of having too little rain?  equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of erosion of your land?",442,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of erosion of your land was on your household's economic situation?,443,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of erosion of your land? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of erosion of your land was on your household's food consumption?,444,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of erosion of your land? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of losing your household's land?",445,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of losing your household's land was on your household's economic situation?,446,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of losing your household's land? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of losing your household's land was on your household's food consumption?,447,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of losing your household's land? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of sharp increases in the price of food?",448,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of sharp increases in the price of food was on your household's economic situation?,449,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of sharp increases in the price of food? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of sharp increases in the price of food was on your household's food consumption?,450,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of sharp increases in the price of food? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of someone stealing or destroying household members' belongings?",451,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of the theft or destruction of your household members' belongings was on your household's economic situation?,452,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of someone stealing or destroying household members' belongings? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of the theft or destruction of your household members' belongings was on your household's food consumption?,453,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of someone stealing or destroying household members' belongings? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
CHECK Q.401 A: DID THE HOUSEHOLD CULTIVATE ANY CROPS IN THE PAST YEAR?,check_q401_a_did_the_household_cultivate_any_crops_in_the_past_year,null,Section,Own farming/crop production and sales equal to 1,,,,,,,
"Still thinking about the past 12 months, did your household face difficult times as a result of not being able to access inputs for your crops? ",455,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of not being able to access inputs for your crops was on your household's economic situation?,456,null,SingleChoice,"Still thinking about the past 12 months, did your household face difficult times as a result of not being able to access inputs for your crops?  equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of not being able to access inputs for your crops was on your household's food consumption?,457,null,SingleChoice,"Still thinking about the past 12 months, did your household face difficult times as a result of not being able to access inputs for your crops?  equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of disease affecting your crops?",458,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of disease affecting your crops was on your household's economic situation?,459,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of disease affecting your crops? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of disease affecting your crops was on your household's food consumption?,460,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of disease affecting your crops? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of pests affecting your crops?",461,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of pests affecting your crops was on your household's economic situation?,462,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of pests affecting your crops? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of pests affecting your crops was on your household's food consumption?,463,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of pests affecting your crops? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of someone stealing crops from your household?",464,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of the theft of your household's crops was on your household's economic situation?,465,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of someone stealing crops from your household? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of the theft of your household's crops was on your household's food consumption?,466,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of someone stealing crops from your household? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"CHECK Q.401 B, C, or D: DOES THE HOUSEHOLD OWN ANY LIVESTOCK?",check_q401_b_c_or_d_does_the_household_own_any_livestock,null,Section,"Own cattle production/fattening and sales equal to 1, Own goats production/fattening and sales equal to 1, Own sheep production/fattening and sales equal to 1",,,,,,,
"In the past 12 months, did your household face difficult times as a result of not being able to access inputs for your livestock? ",468,null,YesNoField,"Own cattle production/fattening and sales equal to 1, Own goats production/fattening and sales equal to 1, Own sheep production/fattening and sales equal to 1","Yes:1, No:2",,,,,,
How severe would you say the impact of not being able to access inputs for your livestock was on your household's food consumption?,469,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of not being able to access inputs for your livestock?  equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of not being able to access inputs for your livestock was on your household's economic situation?,470,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of not being able to access inputs for your livestock?  equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of disease affecting your livestock?",471,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of disease affecting your livestock was on your household's economic situation?,472,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of disease affecting your livestock? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of disease affecting your livestock was on your household's food consumption?,473,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of disease affecting your livestock? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of someone stealing animals from your household?",474,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of the theft of your household's animals was on your household's economic situation?,475,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of someone stealing animals from your household? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of the theft of your household's animals was on your household's food consumption?,476,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of someone stealing animals from your household? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"In the past 12 months, did your household face difficult times as a result of not being able to sell the crops, livestock, or other products your household produces for a fair price?",477,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of not being able to sell your household's products at a fair price was on your household's economic situation?,478,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of not being able to sell the crops, livestock, or other products your household produces for a fair price? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of not being able to sell your household's products at a fair price was on your household's food consumption?,479,null,SingleChoice,"In the past 12 months, did your household face difficult times as a result of not being able to sell the crops, livestock, or other products your household produces for a fair price? equal to 1","Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
Has anyone in your household experienced a severe illness in the past 12 months?,480,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of this person's illness was on your household's economic situation?,481,null,SingleChoice,Has anyone in your household experienced a severe illness in the past 12 months? equal to 1,"Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"If any days of work were missed due to illness, how many days were missed?",482,null,TextField,Has anyone in your household experienced a severe illness in the past 12 months? equal to 1,,,,,,,
How severe would you say the impact of this person's illness was on your household's food consumption?,483,null,SingleChoice,Has anyone in your household experienced a severe illness in the past 12 months? equal to 1,"Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
Has your household experienced the death of a family member in the past 12 months?,484,null,YesNoField,,"Yes:1, No:2",,,,,,
How severe would you say the impact of this person's death was on your household's economic situation?,485,null,SingleChoice,Has your household experienced the death of a family member in the past 12 months? equal to 1,"Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
How severe would you say the impact of this person's death was on your household's food consumption?,486,null,SingleChoice,Has your household experienced the death of a family member in the past 12 months? equal to 1,"Not Severe:1, Somewhat Severe:2, Severe:3, Extremely Severe:4",,,,,,
"CHECK QS. 436, 439, 442, 445, 448 and 451 : IS THERE AT LEAST ONE ""YES"" RESPONSE?",check_qs_436_439_442_445_448_and_451_is_there_at_leas,null,Section,"Thinking again about the past 12 months, did your household face difficult times as a result of having too much rain? equal to 1, In the past 12 months, did your household face difficult times as a result of having too little rain?  equal to 1, In the past 12 months, did your household face difficult times as a result of erosion of your land? equal to 1, In the past 12 months, did your household face difficult times as a result of losing your household's land? equal to 1, In the past 12 months, did your household face difficult times as a result of sharp increases in the price of food? equal to 1, In the past 12 months, did your household face difficult times as a result of someone stealing or destroying household members' belongings? equal to 1, Still thinking about the past 12 months, did your household face difficult times as a result of not being able to access inputs for your crops?  equal to 1, In the past 12 months, did your household face difficult times as a result of disease affecting your crops? equal to 1, In the past 12 months, did your household face difficult times as a result of pests affecting your crops? equal to 1, In the past 12 months, did your household face difficult times as a result of someone stealing crops from your household? equal to 1, In the past 12 months, did your household face difficult times as a result of not being able to access inputs for your livestock?  equal to 1, In the past 12 months, did your household face difficult times as a result of disease affecting your livestock? equal to 1, In the past 12 months, did your household face difficult times as a result of someone stealing animals from your household? equal to 1, In the past 12 months, did your household face difficult times as a result of not being able to sell the crops, livestock, or other products your household produces for a fair price? equal to 1, Has anyone in your household experienced a severe illness in the past 12 months? equal to 1, Has your household experienced the death of a family member in the past 12 months? equal to 1",,,,,,,
"Thank you for sharing your experiences. I'd like to ask you just a few more questions about these difficult times.

I am going to read out a series of statements asking about your perception of the current capacities of your household to face these difficult times in the immediate future.

Please tell me to what extent do you agree or disagree with these statements.’ 
",thank_you_for_sharing_your_experiences_id_like_to_ask_you_just_a_few_more_questions_about_these_difficult_times,null,Label,,,,,,,,
Your household is fully prepared for any future difficult times that may occur in your area.,487,null,SingleChoice,,"Strongly disagree:1, Disagree:2, Neutral:3, Agree:4, Strongly agree:5",,,,,,
