118	"tragedy"	"Scientific articles"	0.022435218	"other"
119	"slave trade"	"News articles"	0.004048971	"other"
120	"environmental degradation"	"News articles"	0.003641276	"environmental issues"
121	"infant mortality"	"Keywords expansion"	0.007702239	"food crisis"
122	"catastrophe"	"Scientific articles"	0.019049751	"other"
123	"wreaked havoc"	"Scientific articles"	0.003185617	"other"
124	"internal strife"	"Scientific articles"	0.004628538	"conflicts and violence"
125	"malnourished"	"Scientific articles"	0.092466835	"food crisis"
126	"secession"	"Scientific articles"	0.022303317	"political instability"
127	"natural disaster"	"Scientific articles"	0.019913105	"environmental issues"
128	"life-threatening hunger"	"Scientific articles"	0.017243102	"food crisis"
129	"air attack"	"Scientific articles"	0.011827153	"conflicts and violence"
130	"corruption"	"Scientific articles"	0.284567144	"political instability"
131	"call for donations"	"Scientific articles"	0.003993013	"humanitarian aid"
132	"collapse of government"	"News articles"	0.004080947	"political instability"
133	"international intervention"	"Scientific articles"	0.005679752	"humanitarian aid"
134	"refugees"	"Scientific articles"	0.004924317	"forced displacement"
135	"disrupted trade"	"News articles"	0.001602801	"economic issues"
136	"lack of agricultural infrastructure"	"Keywords expansion"	0.001366978	"agricultural production issues"
137	"rebel insurgency"	"News articles"	0.002394209	"conflicts and violence"
138	"brutal government"	"Scientific articles"	0.004552595	"conflicts and violence"
139	"looting"	"Keywords expansion"	0.03078897	"conflicts and violence"
140	"displaced"	"Scientific articles"	0.007046729	"forced displacement"
141	"food crisis"	"News articles"	0.092470832	"food crisis"
142	"lack of rains"	"News articles"	0.003617294	"weather shocks"
143	"lack of alternatives"	"Scientific articles"	0.000891333	"other"
144	"regimes were toppled"	"News articles"	0.001922562	"political instability"
145	"jihadist groups"	"News articles"	0.002386215	"conflicts and violence"
146	"toll on livestock"	"Scientific articles"	0.002006499	"agricultural production issues"
147	"shortage of rains"	"News articles"	0.002945797	"weather shocks"
148	"devastated the economy"	"Scientific articles"	0.000475644	"economic issues"
149	"self reliance"	"Keywords expansion"	0.004340753	"humanitarian aid"
150	"cholera outbreak"	"News articles"	0.008669515	"pests and diseases"
151	"international embargo"	"News articles"	0.001870601	"humanitarian aid"
152	"farmland"	"Keywords expansion"	0.012466675	"land-related issues"
153	"totalitarian"	"Keywords expansion"	0.004616547	"political instability"
154	"authoritarian"	"Keywords expansion"	0.001838625	"political instability"
155	"dictators"	"Keywords expansion"	0.007118675	"political instability"
156	"clans"	"Keywords expansion"	0.002474149	"conflicts and violence"
157	"gastrointestinal"	"Keywords expansion"	0.007130666	"food crisis"
158	"terrorist"	"Keywords expansion"	0.003577324	"conflicts and violence"
159	"warlord"	"Keywords expansion"	0.004404705	"conflicts and violence"
160	"d'etat"	"Keywords expansion"	0.004728463	"political instability"
161	"overthrow"	"Keywords expansion"	0.012054983	"political instability"
162	"convoys"	"Keywords expansion"	0.008317778	"conflicts and violence"
163	"carbon"	"Keywords expansion"	0.006611055	"environmental issues"
164	"mayhem"	"Keywords expansion"	0.003653267	"conflicts and violence"
165	"dehydrated"	"Keywords expansion"	0.00426481	"food crisis"
166	"mismanagement"	"Keywords expansion"	0.001642771	"political instability"
