Health Facility Code,Health Facility Code Short,Facility Name,Facility Major Type,Health Facility Type,class,Street Name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Service Capability,Bed Capacity,Licensing Status,License Validity Date
DOH000000000001981,1981,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,Health Facility,Hospital,Government,"EAST AVENUE, DILIMAN",NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,CENTRAL,1381300020,NA,+63 029810330,+63 029240701,+63 029225608,pro@nkti.gov.p,Level 3,315,Licensing Status:With License,NA
DOH000000000037575,37575,PIAT BIRTHING CENTER,Health Facility,Birthing Home,Government,PIAT-CTO-APAYAO ROAD,REGION II (CAGAYAN VALLEY),020000000,CAGAYAN,020150000,PIAT,020152000,POBLACION II,0201520019,3527,(078) 396 3701,NA,NA,sentrongsigla1999@yahoo.com.ph,NA,2,Licensing Status:With License,12/31/2023
DOH000000000035465,35465,DON JUAN COJUANGCO MEMORIAL HEALTH CENTER,Health Facility,Birthing Home,Government,NA,REGION III (CENTRAL LUZON),0300000000,NUEVA ECIJA,0304900000,CUYAPO,0304906000,NA,NA,NA,NA,NA,NA,mirafelixvictoria@gmail.com,NA,0,Licensing Status:With License,NA
DOH000000000032341,32341,RHU I - Maternity Lying-in (ZARAGOZA),Health Facility,Birthing Home,Government,NA,REGION III (CENTRAL LUZON),0300000000,NUEVA ECIJA,0304900000,ZARAGOZA,0304932000,DEL PILAR,0304932005,NA,(044) 958-1590,NA,NA,coffee.cappuccino18@gmail.com,NA,0,Licensing Status:With License,NA
DOH000000000003179,3179,LUIS HORA MEMORIAL REGIONAL HOSPITAL,Health Facility,Hospital,Government,NA,CORDILLERA ADMINISTRATIVE REGION (CAR),1400000000,MOUNTAIN PROVINCE,1404400000,BAUKO,1404402000,ABATAN,1404402001,2621,NA,NA,NA,NA,Level 2,100,Licensing Status:With License,NA
DOH000000000037461,37461,BENITO SOLIVEN RURAL HEALTH UNIT AND BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION II (CAGAYAN VALLEY),020000000,ISABELA,020310000,BENITO SOLIVEN,020310400,DISTRICT II (POB.),0203104007,3331,NA,NA,NA,rhu_benitosoliven@yahoo.com,NA,2,Licensing Status:With License,12/31/2023
DOH000000000000220,220,DIMIAO MUNICIPAL INFIRMARY,Health Facility,Infirmary,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,DIMIAO,0701220000,SAWANG,0701220030,6305,NA,NA,NA,NA,NA,10,Licensing Status:With License,NA
DOH000000000003409,3409,ABORLAN MEDICARE HOSPITAL,Health Facility,Hospital,Government,FINNIGAN STREET,MIMAROPA REGION,1700000000,PALAWAN,1705300000,ABORLAN,1705301000,RAMON MAGSAYSAY,1705301014,5302,(048) 7230912,NA,NA,aborlanmedicarehospital@gmail.com,Level 1,25,Licensing Status:With License,NA
DOH000000000005469,5469,SULU SANITARIUM AND GENERAL HOSPITAL,Health Facility,Hospital,Government,UPPER SAN RAYMUNDO STREET,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,SULU,1906600000,JOLO (CAPITAL),1906602000,SAN RAYMUNDO,1906602007,7400,+63 688460047,NA,NA,NA,Level 1,75,Licensing Status:With License,NA
DOH000000000040266,40266,SARANGANI PROVINCIAL HOSPITAL - MAASIM,Health Facility,Infirmary,Government,ST. LOUIE STREET,REGION XII (SOCCSKSARGEN),1200000000,SARANGANI,1208000000,MAASIM,1208004000,POBLACION,1208004014,9502,083-8880248,NA,NA,maasimmuncipalhospital@gmail.com,NA,10,Licensing Status:With License,NA
DOH000000000003091,3091,OSPITAL NG LUNGSOD NG SAN JOSE DEL MONTE,Health Facility,Hospital,Government,NA,REGION III (CENTRAL LUZON),0300000000,BULACAN,0301400000,CITY OF SAN JOSE DEL MONTE,0301420000,BAGONG BUHAY I,0301420001,3024,+63 449052682,NA,NA,NA,Level 1,90,Licensing Status:With License,NA
DOH000000000032759,32759,BUGO HEALTH CENTER AND LYING IN CLINIC,Health Facility,Birthing Home,Government,"ZONE 2, GREYMAR",REGION X (NORTHERN MINDANAO),1000000000,MISAMIS ORIENTAL,1030500000,CITY OF CAGAYAN DE ORO (CAPITAL),1030500000,BUGO,1030500041,NA,+63 888573184,NA,NA,CDOCITYHEALTHOFFICE@GMAIL.COM,NA,0,Licensing Status:With License,NA
DOH000000000032346,32346,SAN ISIDRO RURAL HEALTH UNIT BIRTHING CLINIC,Health Facility,Birthing Home,Government,PLAZA SANTOS,REGION III (CENTRAL LUZON),0300000000,NUEVA ECIJA,0304900000,SAN ISIDRO,0304925000,POBLACION,0304925006,NA,+63 449408466,NA,NA,rhusine@yahoo.com,NA,0,Licensing Status:With License,NA
DOH000000000003564,3564,NASIPIT DISTRICT HOSPITAL,Health Facility,Infirmary,Government,DISTRICT 6,REGION XIII (CARAGA),1600000000,AGUSAN DEL NORTE,1600200000,NASIPIT,1600209000,KINABJANGAN,1600209009,8602,(085) 3432053,(085) 3433073,(085) 2834510,NA,NA,10,Licensing Status:With License,NA
DOH000000000037405,37405,ST. PAUL HOSPITAL,Health Facility,Hospital,Government,ZONE 12,REGION X (NORTHERN MINDANAO),1000000000,MISAMIS ORIENTAL,1004300000,TAGOLOAN,1004324000,POBLACION,1004324006,NA,NA,NA,NA,st.paultagoloan@gmail.com,Level 1,28,Licensing Status:With License,12/31/2023
DOH000000000032444,32444,DR. FLORENTINO C. DOBLE MEMORIAL HOSPITAL,Health Facility,Infirmary,Government,NEW TALUGTOG RESETTLEMENT AREA,REGION III (CENTRAL LUZON),0300000000,ZAMBALES,0307100000,BOTOLAN,0307101000,TAUGTOG,0307101023,2202,NA,NA,NA,kphbotolan@gmail.com,NA,37,Licensing Status:With License,NA
DOH000000000028057,28057,"LAGUNA MEDICAL CENTER, INC.",Health Facility,Hospital,Government,1864 JOSE DE LEON STREET,REGION IV-A (CALABARZON),0400000000,LAGUNA,0403400000,SANTA CRUZ (CAPITAL),0403426000,BARANGAY I (POB.),0403426014,4009,+63 495433333,NA,NA,laguna.provincial.hospital@gmail.com,Level 2,150,Licensing Status:With License,NA
DOH000000000023634,23634,CAMP BRIG. GEN. SALIPADALA K. PENDATUN HOSPITAL,Health Facility,Infirmary,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL NORTE,1908700000,PARANG,1908709000,MAKING,1908709014,9604,NA,NA,NA,NA,NA,10,Licensing Status:With License,NA
DOH000000000032185,32185,RURAL HEALTH UNIT - QUEZON NUEVA VIZCAYA BIRTHING CLINIC,Health Facility,Birthing Home,Government,NA,REGION II (CAGAYAN VALLEY),020000000,NUEVA VIZCAYA,020500000,QUEZON,020501100,AURORA,0205011001,3316,NA,NA,NA,ruralhealthunitaurora@gmail.com,NA,2,Licensing Status:With License,12/31/2023
DOH000000000003906,3906,BUKIDNON PROVINCIAL HOSPITAL - KIBAWE,Health Facility,Hospital,Government,POBLACION,REGION X (NORTHERN MINDANAO),1000000000,BUKIDNON,1001300000,KIBAWE,1001308000,PALMA,1001308037,8720,NA,NA,NA,BPHKIBAWE@YAHOO.COM,Level 1,100,Licensing Status:With License,NA
DOH000000000027779,27779,SIBUCO MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,SITIO TIGBUAYA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL NORTE,0907200000,SIBUCO,0907216000,POBLACION,0907216018,7122,NA,NA,NA,NA,NA,10,Licensing Status:With License,12/31/2023
DOH000000000002059,2059,SAN JOSE DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION IV-A (CALABARZON),0400000000,BATANGAS,0401000000,SAN JOSE,0401022000,BANAYBANAY I,0401022007,4227,+63 437260158,NA,NA,sjdhbats_78@yahoo.com,Level 1,25,Licensing Status:With License,NA
DOH000000000006854,6854,JUAN M. DUYAN MEMORIAL DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,KALINGA,140320000,RIZAL,140321100,BABALAG WEST (POB.),1403211015,3808,NA,NA,NA,juanmduyan2019@gmail.com,NA,18,Licensing Status:With License,12/31/2023
DOH000000000038564,38564,"ROSARIO RURAL HEALTH UNIT, FAMILY PLANNING AND BIRTHING CLINIC",Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,LA UNION,010330000,ROSARIO,010331300,POBLACION EAST,0103313022,NA,NA,NA,NA,NA,NA,4,Licensing Status:With License,NA
DOH000000000032450,32450,LEGAZPI CITY HEALTH OFFICE SOUTHERN DISTRICT MATERNITY LYING-IN CLINIC,Health Facility,Birthing Home,Government,NA,REGION V (BICOL REGION),050000000,ALBAY,050050000,CITY OF LEGAZPI (CAPITAL),050050600,BGY. 66 - BANQUEROHAN,0500506004,NA,+63 524800695,NA,NA,NA,NA,3,Licensing Status:With License,12/31/2024
DOH000000000038560,38560,ASINGAN RHU-1 BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,ASINGAN,010550600,POBLACION EAST,0105506016,NA,63,63,NA,NA,NA,12,Licensing Status:With License,NA
DOH000000000043603,43603,SOFRONIO ESPAÑOLA DISTRICT HOSPITAL,Health Facility,Infirmary,Government,"H. GUBAT ST., PUROK BULUBUNDUKIN B",MIMAROPA REGION,1700000000,PALAWAN,1705300000,SOFRONIO ESPA?OLA,1705324000,PULOT CENTER,1705324006,5324,NA,NA,NA,pgpsedh2022@gmail.com,NA,12,Licensing Status:With License,12/31/2022
DOH000000000000494,494,DR. GUMERSINDO GARCIA SR MEMORIAL HOSPITAL,Health Facility,Infirmary,Government,GUANZON STREET,REGION VI (WESTERN VISAYAS),060000000,NEGROS OCCIDENTAL,060450000,CITY OF KABANKALAN,060451500,BARANGAY 5 (POB.),0604515016,6111,+63 344712113,NA,NA,hrdggsmh@gmail.com,NA,25,Licensing Status:With License,12/31/2023
DOH000000000000573,573,IBAJAY DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,AKLAN,060040000,IBAJAY,060040600,AGBAGO,0600406001,5613,+63 362892011,+63 362892276,+63 362892276,NA,NA,25,Licensing Status:With License,12/31/2023
DOH000000000033018,33018,HADJI MUHTAMMAD RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,BASILAN,1900700000,HADJI MUHTAMAD,1900712000,TAUSAN,1900712010,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000033032,33032,FATIMA BIRTHING HOME AND MIDWIVES CLINIC,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL SUR,1908800000,DATU SAUDI-AMPATUAN,1908809000,DAPIAWAN,1908809001,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000005252,5252,ABRA DE ILOG MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,VENTURANZA STREET,MIMAROPA REGION,1700000000,OCCIDENTAL MINDORO,1705100000,ABRA DE ILOG,1705101000,POBLACION,1705101004,5108,NA,NA,NA,carlosdipasupil@yahoo.com,NA,10,Licensing Status:With License,NA
DOH000000000033097,33097,RIZAL RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL NORTE,0907200000,RIZAL,0907212000,WEST POBLACION,0907212022,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000037647,37647,NAGTIPUNAN RURAL HEALTH UNIT AND BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION II (CAGAYAN VALLEY),020000000,QUIRINO,020570000,NAGTIPUNAN,020570600,PONGGO,0205706010,3405,NA,NA,NA,mhonagtipunan@gmail.com,NA,6,Licensing Status:With License,12/31/2023
DOH000000000032552,32552,DONSOL RURAL HEALTH UNIT BIRTHING FACILITY,Health Facility,Birthing Home,Government,SAN JOSE STREET,REGION V (BICOL REGION),0500000000,SORSOGON,0506200000,DONSOL,0506207000,AWAI,0506207002,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000006557,6557,BONTOC GENERAL HOSPITAL,Health Facility,Hospital,Government,MALIGCONG ROAD,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,MOUNTAIN PROVINCE,140440000,BONTOC (CAPITAL),140440400,CALUTTIT,1404404017,2616,(074) 604-0839,NA,NA,bontocgeneralhospital@gmail.com,Level 1,100,Licensing Status:With License,12/31/2023
DOH000000000033139,33139,TIGBAO RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL SUR,0907300000,TIGBAO,0907344000,TIGBAO,0907344016,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000040668,40668,GUADALUPE NUEVO LYING-IN CLINIC,Health Facility,Birthing Home,Government,"La Consolacion St., cor. Nuestra Señora, Guadalupe Nuevo, Makati City",NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",1376000000,CITY OF MAKATI,1380300000,GUADALUPE NUEVO,1380300009,NA,NA,NA,NA,gnlic.mhd@gmail.com,NA,3,Licensing Status:With License,NA
DOH000000000036191,36191,CONEL RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION XII (SOCCSKSARGEN),1200000000,SOUTH COTABATO,1230800000,CITY OF GENERAL SANTOS,1230800000,CONEL,1230800006,9500,NA,NA,NA,lyinginconelrhu@gmail.com,NA,2,Licensing Status:With License,NA
DOH000000000043080,43080,SAN LEONARDO RHU II BIRTHING STATION,Health Facility,Birthing Home,Government,NA,REGION III (CENTRAL LUZON),0300000000,NUEVA ECIJA,0304900000,SAN LEONARDO,0304927000,DIVERSION,0304927005,NA,NA,NA,NA,rhu2sanleo@gmail.com,NA,0,Licensing Status:With License,NA
DOH000000000032656,32656,MONTEBELLO BHS BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION VIII (EASTERN VISAYAS),0800000000,LEYTE,0803700000,KANANGA,0803726000,MONTE BELLO,0803726012,6531,(053) 5539030,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000033092,33092,PUNTA BLANCA BIRTHING CLINIC,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL NORTE,0907200000,MANUKAN,0907207000,PUNTA BLANCA,0907207028,7110,NA,NA,NA,NA,NA,1,Licensing Status:With License,12/31/2023
DOH000000000007486,7486,APARRI PROVINCIAL HOSPITAL,Health Facility,Hospital,Government,MAHARLIKA HIGHWAY,REGION II (CAGAYAN VALLEY),020000000,CAGAYAN,020150000,APARRI,020150500,TORAN,0201505040,3515,+63 783773207,NA,NA,aparridistricthospital@gmail.com,Level 1,50,Licensing Status:With License,12/31/2023
DOH000000000033481,33481,PAETE RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,2-058 F. SARIO STREET,REGION IV-A (CALABARZON),0400000000,LAGUNA,0403400000,PAETE,0403418000,MAYTOONG (POB.),0403418008,NA,+63 495572838,NA,NA,rhupaete_official@yahoo.com,NA,0,Licensing Status:With License,NA
DOH000000000003863,3863,CAGRARAY DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,REGION V (BICOL REGION),0500000000,ALBAY,0500500000,BACACAY,0500501000,CABASAN,0500501009,4509,NA,NA,NA,cagaraydistrict@yahoo.com,NA,25,Licensing Status:With License,NA
DOH000000000036044,36044,BALUBARAN LYING-IN CLINIC,Health Facility,Birthing Home,Government,"SALUD ST., EDEN COURT, BALUBARAN",NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",1375000000,CITY OF VALENZUELA,1381600000,MALINTA,1381600017,1440,+63 024457030,NA,NA,mpreytas@gmail.com,NA,2,Licensing Status:With License,NA
