code,name,type,class,subclass,region,ID_unit,province,municipality,barangay,selected,overselected
DOH000000000000057,GENERAL SALIPADA K. PENDATUN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),31,MAGUINDANAO DEL SUR,GEN. S.K. PENDATUN,BADAK,0,0
DOH000000000005492,GUINDULUNGAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),32,MAGUINDANAO DEL SUR,GUINDULUNGAN,TAMBUNAN II,0,0
DOH000000000001416,KABUNTALAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),33,MAGUINDANAO DEL NORTE,KABUNTALAN,LOWER TAVIRAN,0,0
DOH000000000002412,KAPAI RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),34,LANAO DEL SUR,KAPAI,POBLACION,0,0
DOH000000000031730,KAPANTARAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35,LANAO DEL SUR,CITY OF MARAWI (CAPITAL),KAPANTARAN,0,0
DOH000000000002403,KAPATAGAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),36,LANAO DEL SUR,KAPATAGAN,DAGUAN,0,0
DOH000000000002171,LANGUYAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),37,TAWI-TAWI,LANGUYAN,DARUSSALAM,0,0
DOH000000000007446,LUMBA-BAYABAO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),38,LANAO DEL SUR,LUMBA-BAYABAO,MARIBO (POB.),0,0
DOH000000000033660,LUMBACA-UNAYAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),39,LANAO DEL SUR,LUMBACA-UNAYAN,DILAUSAN,0,0
DOH000000000006439,LUMBATAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40,LANAO DEL SUR,LUMBATAN,POBLACION,0,0
DOH000000000002917,LUMBAYANAGUE RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),41,LANAO DEL SUR,LUMBAYANAGUE,KABASARAN (POB.),0,0
DOH000000000004375,MADALUM RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),42,LANAO DEL SUR,MADALUM,POBLACION,0,0
DOH000000000004294,MADAMBA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),43,LANAO DEL SUR,MADAMBA,TUBARAN,0,0
DOH000000000004822,MAGUING RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),44,LANAO DEL SUR,MAGUING,BOROCOT,0,0
DOH000000000007382,MALABANG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45,LANAO DEL SUR,MALABANG,TACUB,0,0
DOH000000000003057,MAMASAPANO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),46,MAGUINDANAO DEL SUR,MAMASAPANO,MANONGKALING,0,0
DOH000000000004933,MANGUDADATU RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),47,MAGUINDANAO DEL SUR,MANGUDADATU,TUMBAO,0,0
DOH000000000006125,MAPUN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),48,TAWI-TAWI,MAPUN,LUPA PULA (POB.),0,0
DOH000000000003247,MARANTAO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),49,LANAO DEL SUR,MARANTAO,MANTAPOLI,0,0
DOH000000000000868,MARAWI CITY HEALTH OFFICE,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50,LANAO DEL SUR,CITY OF MARAWI (CAPITAL),FORT,0,0
DOH000000000003974,MAROGONG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),51,LANAO DEL SUR,MAROGONG,MAROGONG PROPER (POB.),0,0
DOH000000000004035,MASIU RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),52,LANAO DEL SUR,MASIU,BUADI AMLOY,0,0
DOH000000000002901,MATANOG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),53,MAGUINDANAO DEL NORTE,MATANOG,BUGASAN SUR (POB.),0,0
DOH000000000007423,MULONDO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),54,LANAO DEL SUR,MULONDO,CAIRATAN,0,0
DOH000000000001790,NORTHERN KABUNTALAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55,MAGUINDANAO DEL NORTE,NORTHERN KABUNTALAN,GAYONGA,0,0
DOH000000000008665,OFFICE OF THE HEALTH SERVICES,Rural Health Unit,Government,Local Government Unit,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),56,MAGUINDANAO DEL NORTE,CITY OF COTABATO,ROSARY HEIGHTS,0,1
DOH000000000003594,PAGALUNGAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),57,MAGUINDANAO DEL SUR,PAGALUNGAN,POBLACION,0,0
DOH000000000000877,PAGAYAWAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),58,LANAO DEL SUR,PAGAYAWAN,BANGON (POB.),0,0
DOH000000000002459,PAGLAT RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),59,MAGUINDANAO DEL SUR,PAGLAT,PAGLAT,0,0
DOH000000000005493,PANDAG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60,MAGUINDANAO DEL SUR,PANDAG,MALANGIT,0,0
DOH000000000002674,PANGLIMA SUGALA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),61,TAWI-TAWI,PANGLIMA SUGALA,BATU-BATU (POB.),0,0
DOH000000000003257,PARANG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),62,MAGUINDANAO DEL NORTE,PARANG,POBLACION,0,0
DOH000000000001886,PIAGAPO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),63,LANAO DEL SUR,PIAGAPO,ILIAN,0,0
DOH000000000002652,PICONG (SULTAN GUMANDER) RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),64,LANAO DEL SUR,PICONG,LIANGAN (POB.),0,0
DOH000000000002798,POONA-BAYABAO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65,LANAO DEL SUR,POONA BAYABAO,BANSAYAN,0,0
DOH000000000000884,PUALAS RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),66,LANAO DEL SUR,PUALAS,TAMBO (POB.),0,0
DOH000000000002698,RAJAH BUAYAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),67,MAGUINDANAO DEL SUR,RAJAH BUAYAN,SAPAKAN (POB.),0,0
DOH000000000002325,SAGUIARAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),68,LANAO DEL SUR,SAGUIARAN,POBLACION,0,0
DOH000000000006519,SAPA-SAPA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),69,TAWI-TAWI,SAPA-SAPA,SAPA-SAPA (POB.),0,0
DOH000000000005828,SHARIFF AGUAK RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70,MAGUINDANAO DEL SUR,SHARIFF AGUAK (CAPITAL),POBLACION,0,0
DOH000000000032012,SHARIFF SAYDONA MUSTAPHA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),71,MAGUINDANAO DEL SUR,SHARIFF SAYDONA MUSTAPHA,NABUNDAS,1,0
DOH000000000002847,SIBUTU RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),72,TAWI-TAWI,SIBUTU,HADJI IMAM BIDIN,0,0
DOH000000000000052,SIMUNUL RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),73,TAWI-TAWI,SIMUNUL,TUBIG INDANGAN,0,1
DOH000000000007202,SITANGKAI RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),74,TAWI-TAWI,SITANGKAI,PANGLIMA ALARI,0,0
DOH000000000004619,SOUTH UBIAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75,TAWI-TAWI,SOUTH UBIAN,TAMPAKAN DAMPONG,0,0
DOH000000000004519,SOUTH UPI RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),76,MAGUINDANAO DEL SUR,SOUTH UPI,ROMANGAOB (POB.),0,0
DOH000000000007215,SULTAN DUMALONDONG RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),77,LANAO DEL SUR,SULTAN DUMALONDONG,LUMBAC,0,0
DOH000000000003775,SULTAN KUDARAT RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),78,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,DALUMANGCOB (POB.),0,0
DOH000000000003895,SULTAN MASTURA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),79,MAGUINDANAO DEL NORTE,SULTAN MASTURA,TAPAYAN,0,0
DOH000000000002942,SULTAN SA BARONGIS RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80,MAGUINDANAO DEL SUR,SULTAN SA BARONGIS,BARURAO,0,0
DOH000000000031785,TABAWAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),81,TAWI-TAWI,SOUTH UBIAN,PAMPANG,0,0
DOH000000000030942,TAGOLOAN II RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),82,LANAO DEL SUR,TAGOLOAN II,KINGAN,0,0
DOH000000000001427,TALAYAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),83,MAGUINDANAO DEL SUR,TALAYAN,TALAYAN,0,0
DOH000000000000129,TALITAY RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),84,MAGUINDANAO DEL NORTE,TALITAY,TALITAY,0,0
DOH000000000000808,TAMPARAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),85,LANAO DEL SUR,TAMPARAN,POBLACION II,0,0
DOH000000000002115,TANDUBAS RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),86,TAWI-TAWI,TANDUBAS,SILANTUP,0,0
DOH000000000004566,TARAKA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),87,LANAO DEL SUR,TARAKA,SUNDING,0,0
DOH000000000031731,TIMBANGALAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),88,LANAO DEL SUR,CITY OF MARAWI (CAPITAL),TIMBANGALAN,0,0
DOH000000000003908,TUBARAN RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),89,LANAO DEL SUR,TUBARAN,TANGCAL,0,0
DOH000000000000103,TUGAYA RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),90,LANAO DEL SUR,TUGAYA,POBLACION,0,0
DOH000000000007237,TURTLE ISLANDS RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),91,TAWI-TAWI,TURTLE ISLANDS,TAGANAK POBLACION,0,0
DOH000000000002236,UPI RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),92,MAGUINDANAO DEL NORTE,UPI,NURO POBLACION,0,0
DOH000000000007162,WAO RURAL HEALTH UNIT,Rural Health Unit,Government,National Government,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),93,LANAO DEL SUR,WAO,WESTERN WAO (POB.),0,0
DOH000000000000195,ABORLAN MUNICIPAL HEALTH OFFICE,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,94,PALAWAN,ABORLAN,RAMON MAGSAYSAY,0,0
DOH000000000003433,ABRA DE ILOG RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,95,OCCIDENTAL MINDORO,ABRA DE ILOG,POBLACION,0,0
DOH000000000002375,AGUTAYA RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,96,PALAWAN,AGUTAYA,BANGCAL (POB.),0,0
DOH000000000001415,ALCANTARA RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,97,ROMBLON,ALCANTARA,POBLACION,0,0
DOH000000000003854,ARACELI RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,98,PALAWAN,ARACELI,POBLACION,0,0
DOH000000000002353,BACO MUNICIPAL HEALTH OFFICE,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,99,ORIENTAL MINDORO,BACO,POBLACION,0,0
DOH000000000000086,BALABAC MUNICIPAL HEALTH OFFICE,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,100,PALAWAN,BALABAC,POBLACION I,0,0
DOH000000000000087,BANSUD RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,101,ORIENTAL MINDORO,BANSUD,POBLACION,0,0
DOH000000000003609,BANTON RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,102,ROMBLON,BANTON,POBLACION,0,0
DOH000000000005897,BATARAZA RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,103,PALAWAN,BATARAZA,MARANGAS (POB.),0,0
DOH000000000023420,BOAC RURAL HEALTH UNIT II,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,104,MARINDUQUE,BOAC (CAPITAL),BANTAY,0,1
DOH000000000000827,BONGABONG MUNICIPAL HEALTH OFFICE,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,105,ORIENTAL MINDORO,BONGABONG,APLAYA,0,0
DOH000000000003726,BROOKE'S POINT MUNICIPAL HEALTH OFFICE,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,106,PALAWAN,BROOKE'S POINT,PANGOBILIAN,0,0
DOH000000000003936,BUENAVISTA RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,107,MARINDUQUE,BUENAVISTA,BARANGAY I (POB.),0,0
DOH000000000003857,BULALACAO MUNICIPAL HEALTH OFFICE,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,108,ORIENTAL MINDORO,BULALACAO,POBLACION,0,0
DOH000000000000088,BUSUANGA RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,109,PALAWAN,BUSUANGA,SALVACION,0,0
DOH000000000002626,CAGAYANCILLO RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,110,PALAWAN,CAGAYANCILLO,LIPOT NORTH (POB.),0,0
DOH000000000004353,CAJIDIOCAN RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,111,ROMBLON,CAJIDIOCAN,POBLACION,0,0
DOH000000000042816,CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - MAIN,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,112,ORIENTAL MINDORO,CITY OF CALAPAN (CAPITAL),GUINOBATAN,0,0
DOH000000000000835,CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - NORTH SECTION,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,113,ORIENTAL MINDORO,CITY OF CALAPAN (CAPITAL),SAN VICENTE WEST (POB.),0,0
DOH000000000001503,CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - SOUTH SECTION,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,114,ORIENTAL MINDORO,CITY OF CALAPAN (CAPITAL),IBABA EAST (POB.),0,0
DOH000000000004855,CALATRAVA RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,115,ROMBLON,CALATRAVA,POBLACION,0,0
DOH000000000005818,CALINTAAN RURAL HEALTH UNIT,Rural Health Unit,Government,Local Government Unit,MIMAROPA REGION,116,OCCIDENTAL MINDORO,CALINTAAN,POBLACION,0,0
