KII ID,row,County/Akobo,Gender/Female,Intervention Type/Advocacy,Intervention Type/Peacebuilding,Perception of Stresses/Improved,Programming Gaps/Health,Resilience,Respondent Type/Government,Shocks/Drought,Shocks/Financial,Shocks/Hunger,Stresses/Conflict,Gender/Male,Intervention Type/Livelihoods,Programming Gaps/Capacity Building,Programming Gaps/Violence Prevention,Respondent Type/CSO_NGO Worker,Intervention Type/Humanitarian,Perception of Stresses/Worsened,Programming Gaps/Agriculture,Programming Gaps/Infastructure,Intervention Type/Economic,Programming Gaps/Financial,Shiocks/Food,Shocks/Flood,Respondent Type/Youth Leader,Stresses/Climate Change,County/Budi,Programming Gaps/Infrastructure,Programming Gaps/Protection,Programming Gaps/Life skills,Shocks/Pests,Intervention Type/Agriculture,Intervention Type/Protection,Programming Gaps/WASH,Shocks/Pest,Vulnerable Populations/Women,Programming Gaps/Education,Respondent Type/Private Sector,County/Jur River,Intervention Type/Education,Intervention Type/Nutrition,Intervention Type/Humanitarian Assistance,Intervention Type/Infrastructure,Perception of Stresses/Same,Intervention Type/Health services,Shocks/Medical Condition,County/Kapoeta North,"Programming Gaps/Violence Prevention
Programming Gaps/Peacebuilding?",Respondent Type/Community Leader,Intervention Type/WASH,Programming Gaps/Coordination,Respondent Type/Women Leader,Programming Gaps/ROL,County/Pibor,Stresses/Protection,Stresses/Unemployment,Respondent Type/IPs,County/Wau,Intervention Type/Peabuilding,Stresses/Corruption,Vulnerable Populations/Youth
Akobo_KII_4,4,Akobo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,"Trader Association Chairperson, Akobo Trader Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Supplying commodities to the market; identify demand gaps and avail the demanded items
Give food on credit during times of food scarcity and wait until they are able to pay back","Trade support which used to be there is missing. This used to give traders access to USD which is used for purchasing the commodities from Ethiopia
Fishery Support is inadequate
There is no borehole in the market.","Too much rain that destroyed crops which resulted in hunger 
Lack of roads led to scarcity of commodities 
Revenge killing","In the last 12 months, hunger has been very severe as crops were destroyed by too much rain and food assistance delayed.
Prices of commodities have gone up from the supply source which is Ethiopia and consequently have risen here as well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_4,5,NA,NA,NA,"Migration to fishing camps
Peace dialogues
Supply the items to the market even though costly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_4,6,NA,NA,NA,Peace dialogues have reduced revenge killing cases. Youth are able to engage in farming activities.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_5,5,Akobo,NA,NA,NA,Revenge killing has reduced due to peacebuilding and conflict resolution activities by NGOs and community leadership,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_5,7,NA,NA,NA,"Involve in conflict resolution initiatives on revenge killings
Advocate for self reliance through agriculture (this awareness is carried out through Youth Sub-offices in the payams)
We have formed farming and fishing groups to showcase livelihood disversification.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_5,2,NA,NA,NA,NA,NA,"Agricultural tools
Primary education in the payams is lacking
Primary health care in the payams is also on and off","Youth respond to the external threat by confronting the enemy
People migrated to the fishing camps
Sale of livestock
Burning and selling charcoal
Relying on help from friends and relatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food security situation has worsened as crops were destroyed by dry spelt and excessive rain last year 
External security has worsened as Murle attacks are reported frequently.",NA,NA,NA,NA,NA,"Hunger caused by too much rain and delay of food aid as people depend on food aid
Murle attacks (abduction, killing and cattle raiding)
Revenge killing
High prices caused by lack of roads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akobo_KII_5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Youth Chairman, Akobo Youth Association","Due to climate change, crops are destoyed by too much rain and people have become more vulnerable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Budi,poor road networks; poor telecommunication networks across the county except chukudum town; inadquate health care centers; poor education system due to unqualified teachers.,Hight rate of GBVs; early girl child  marriage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,2,NA,NA,NA,NA,NA,NA,NA,"Payam Administrator, Lotukei Payam",NA,NA,NA,NA,NA,"Humanitarian assistance by NGOs,  sell of animals, early planting of crops and diversifiaction of diet; alternative source of livelihoods;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alternative source of livelihoods such as VSLA activities, petty trade and early planting of crops is more useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,8,NA,NA,NA,"He is a government representative at payam level and he supports the community through coordination activities, manage the affairs of the community and reports community demands/concerns to the government; participate in peace dialoque, participate in decision making especially directing NGOs on which group of people they should target.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,6,NA,NA,NA,NA,"There is a bit of improvement as results of the support recieves from NGO across the county, increase in agricultural produces due to trainings and provision of agricultural inputs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_10,4,NA,NA,NA,NA,NA,NA,NA,NA,"prolong dry spell that occurred between May-Oct 2022 leads to poor harvest, low market linkages, food insecurity in some HHs animal diseases which started since 2019 up to date, limited vetinary services;  water scarcity in places like kimantong, Nauro,lotukei etc; women are mostly affected due to high price increases, their main livelihoods farming was affceted as a result of long dry spell and pest & diseases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deputy Youth Leader, Budi Youth Association",NA,Budi,"inaccessibility to other Payams and big towns due to bad roads, Poor education system & lack of government scholarship, animal diseases and limited vetinery services, lack of Haffir for animals during dry season, lack of vocational training center for the youth & women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alternative  source of livelihoods like capentry, brick laying, hair dressing, bread making etc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,9,NA,NA,NA,"He is the deputy youth leader for Budi county, the support the community  by participating in peace dialoque organize by Ips ( CDSS,ROG, CRS); sensitize the youth in different payams on the danger of conflicts, GBVs, rubbery, road ambush,  too much alcohol consumption & advocate for youth participation in farming as well as use of local seeds that resist drought.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,10,NA,NA,NA,"Approaches use includes: peace dialoque with neighboring community facilitated by Ips; community sensitization on the dangers of GBVs; alcohol, road rubbery etc to youths, danger of bush burning, sensitizing youth on good management skills of their resoruces arcoss the county, training of youth on livelihoods skills and establishment of small business to support livelihoods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,7,NA,NA,NA,NA,"There is little improvement, there is reduced insecurity, increase in produce due to support from IPs like RASS, SCI,CRS etc  & trainings on best agronomic practices as well as provision of agricultural tools",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"limited life skills activities across the county, poor hygiene & sanitation , lack of referal pathway for GBV survisors, insecurity, inadquate sources of safe drinking water, lack of mechanised equipments like tractors","Main shocks & stressor includes pest & diseases ( fall army worm occurred in April-May 2022), prolong dry spell, high rate of alcohol consumptions, insecurity due to cattle raiding, road ambush, rubbery etc; high rate of GBVs cases across the county results into killing, sucide, girl child compensation in case a person is killed during a fight, women are mostly affected by the shocks & stressor compare to men as they take all the family burden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,3,NA,NA,NA,NA,NA,NA,NA,"RRC Secretary for Budi County, Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Budi,"There is gap in education system, inadqaute safe drinking water sources across the county, poor roadnets affects movement mostly during rain seasons and leads to increase of food prices in market",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,2,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trauma healing activities help women & young girl to recover from stress especially in the seleted payams,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"she is the RRC secretary for Budi county and she supports in monitoring the activities of NGOs in the county, participate in recruitment process, take lead in directing NGOs in the locations of needs, raise alerts in case of disaster risks , track population movements","Trainings & senisitaization of the community on the danger of GBVs, trauma healing activities by Ips like ROG,  training on the best agronomic practices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,8,NA,NA,NA,NA,"A bit of improvement  in agricultural sector due to trainings on best agronomic practices, distribution of small ruminants animals like goats to widows & people with disability has improve livelihoods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lack of mechanized agricultural equipments, inadqaute health care centers mostly in the uplands, and poor road conditions leads to high maternal moterlity rate, poor telecommunication network except chukumdum town.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_12,5,NA,NA,NA,NA,NA,NA,NA,NA,"Pest & diseases ( fall army worm affects harvest in April-May), insecurity, high rate of GBVs cases at HHs level, many community members are truamatize due to the loss of their ones, separtion from their children due to the war etc.  How it affects: it create fears among the community and limit access to farms that are far from home areas, led to loss of lives, women are mostly affecetd because they carry great burden of families.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Budi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In your opinion, which of these approaches were most helpful? ""Alternative sources of livelihoods like capentry, brick laying, hair dressing, bread making etc""
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
