KII ID,row,County/Akobo,Gender/Female,Intervention Type/Advocacy,Intervention Type/Peacebuilding,Perception of Stresses/Improved,Programming Gaps/Health,Resilience,Respondent Type/Government,Shocks/Drought,Shocks/Fincial,Shocks/Hunger,Stresses/Conflict,Gender/Male,Intervention Type/Livelihoods,Programming Gaps/Capacity Building,Programming Gaps/Violence Prevention,Respondent Type/CSO_NGO Worker,Intervention Type/Humanitarian,Perception of Stresses/Worsened,Programming Gaps/Agriculture,Programming Gaps/Infastructure,Intervention Type/Economic,Programming Gaps/Fincial,Shiocks/Food,Shocks/Flood,Respondent Type/Youth Leader,Stresses/Climate Change,County/Budi,Programming Gaps/Infrastructure,Programming Gaps/Protection,Programming Gaps/Life skills,Shocks/Pests,Intervention Type/Agriculture,Intervention Type/Protection,Programming Gaps/WASH,Shocks/Pest,Vulnerable Populations/Women,Programming Gaps/Education,Respondent Type/Private Sector,County/Jur River,Intervention Type/Education,Intervention Type/Nutrition,Intervention Type/Humanitarian Assistance,Intervention Type/Infrastructure,Perception of Stresses/Same,Intervention Type/Health services,Shocks/Medical Condition,County/Kapoeta North,"Programming Gaps/Violence Prevention
Programming Gaps/Peacebuilding?",Respondent Type/Community Leader,Intervention Type/WASH,Programming Gaps/Coordition,Respondent Type/Women Leader,Programming Gaps/ROL,County/Pibor,Stresses/Protection,Stresses/Unemployment,Respondent Type/IPs,County/Wau,Intervention Type/Peabuilding,Stresses/Corruption,Vulnerable Populations/Youth
Akobo_KII_4,4,Akobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_4,3,,,,,,,,,,,,,Male,,,,"Trader Association Chairperson, Akobo Trader Association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_4,1,,,,,,,,,,,,,,,,,,,,,,"Supplying commodities to the market; identify demand gaps and avail the demanded items
Give food on credit during times of food scarcity and wait until they are able to pay back","Trade support which used to be there is missing. This used to give traders access to USD which is used for purchasing the commodities from Ethiopia
Fishery Support is idequate
There is no borehole in the market.","Too much rain that destroyed crops which resulted in hunger 
Lack of roads led to scarcity of commodities 
Revenge killing","In the last 12 months, hunger has been very severe as crops were destroyed by too much rain and food assistance delayed.
Prices of commodities have gone up from the supply source which is Ethiopia and consequently have risen here as well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_4,5,,,,"Migration to fishing camps
Peace dialogues
Supply the items to the market even though costly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_4,6,,,,Peace dialogues have reduced revenge killing cases. Youth are able to engage in farming activities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_5,5,Akobo,,,,Revenge killing has reduced due to peacebuilding and conflict resolution activities by NGOs and community leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_5,4,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_5,7,,,,"Involve in conflict resolution initiatives on revenge killings
Advocate for self reliance through agriculture (this awareness is carried out through Youth Sub-offices in the payams)
We have formed farming and fishing groups to showcase livelihood disversification.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_5,2,,,,,,"Agricultural tools
Primary education in the payams is lacking
Primary health care in the payams is also on and off","Youth respond to the exterl threat by confronting the enemy
People migrated to the fishing camps
Sale of livestock
Burning and selling charcoal
Relying on help from friends and relatives",,,,,,,,,,,,"Food security situation has worsened as crops were destroyed by dry spelt and excessive rain last year 
Exterl security has worsened as Murle attacks are reported frequently.",,,,,,"Hunger caused by too much rain and delay of food aid as people depend on food aid
Murle attacks (abduction, killing and cattle raiding)
Revenge killing
High prices caused by lack of roads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akobo_KII_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Youth Chairman, Akobo Youth Association","Due to climate change, crops are destoyed by too much rain and people have become more vulnerable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budi,poor road networks; poor telecommunication networks across the county except chukudum town; idquate health care centers; poor education system due to unqualified teachers.,Hight rate of GBVs; early girl child  marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_10,5,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_10,2,,,,,,,,"Payam Administrator, Lotukei Payam",,,,,,"Humanitarian assistance by NGOs,  sell of animals, early planting of crops and diversifiaction of diet; altertive source of livelihoods;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_10,3,,,,,,,,,,,,,,"altertive source of livelihoods such as VSLA activities, petty trade and early planting of crops is more useful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_10,8,,,,"He is a government representative at payam level and he supports the community through coordition activities, mage the affairs of the community and reports community demands/concerns to the government; participate in peace dialoque, participate in decision making especially directing NGOs on which group of people they should target.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_10,6,,,,,"There is a bit of improvement as results of the support recieves from NGO across the county, increase in agricultural produces due to trainings and provision of agricultural inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_10,4,,,,,,,,,"prolong dry spell that occurred between May-Oct 2022 leads to poor harvest, low market linkages, food insecurity in some HHs animal diseases which started since 2019 up to date, limited vetiry services;  water scarcity in places like kimantong, uro,lotukei etc; women are mostly affected due to high price increases, their main livelihoods farming was affceted as a result of long dry spell and pest & diseases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_11,2,,,,,,,,,,,,,,,,,,,,,,,,,,"Deputy Youth Leader, Budi Youth Association",,Budi,"iccessibility to other Payams and big towns due to bad roads, Poor education system & lack of government scholarship, animal diseases and limited vetinery services, lack of Haffir for animals during dry season, lack of vocatiol training center for the youth & women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_11,6,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_11,4,,,,,,,,,,,,,,"Altertive  source of livelihoods like capentry, brick laying, hair dressing, bread making etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_11,9,,,,"He is the deputy youth leader for Budi county, the support the community  by participating in peace dialoque organize by Ips ( CDSS,ROG, CRS); sensitize the youth in different payams on the danger of conflicts, GBVs, rubbery, road ambush,  too much alcohol consumption & advocate for youth participation in farming as well as use of local seeds that resist drought.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_11,10,,,,"Approaches use includes: peace dialoque with neighboring community facilitated by Ips; community sensitization on the dangers of GBVs; alcohol, road rubbery etc to youths, danger of bush burning, sensitizing youth on good magement skills of their resoruces arcoss the county, training of youth on livelihoods skills and establishment of small business to support livelihoods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_11,7,,,,,"There is little improvement, there is reduced insecurity, increase in produce due to support from IPs like RASS, SCI,CRS etc  & trainings on best agronomic practices as well as provision of agricultural tools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"limited life skills activities across the county, poor hygiene & sanitation , lack of referal pathway for GBV survisors, insecurity, idquate sources of safe drinking water, lack of mechanised equipments like tractors","Main shocks & stressor includes pest & diseases ( fall army worm occurred in April-May 2022), prolong dry spell, high rate of alcohol consumptions, insecurity due to cattle raiding, road ambush, rubbery etc; high rate of GBVs cases across the county results into killing, sucide, girl child compensation in case a person is killed during a fight, women are mostly affected by the shocks & stressor compare to men as they take all the family burden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_12,3,,,,,,,,"RRC Secretary for Budi County, Government",,,,,,,,,,,,,,,,,,,,Budi,"There is gap in education system, idqaute safe drinking water sources across the county, poor roadnets affects movement mostly during rain seasons and leads to increase of food prices in market",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_12,2,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trauma healing activities help women & young girl to recover from stress especially in the seleted payams,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"she is the RRC secretary for Budi county and she supports in monitoring the activities of NGOs in the county, participate in recruitment process, take lead in directing NGOs in the locations of needs, raise alerts in case of disaster risks , track population movements","Trainings & senisitaization of the community on the danger of GBVs, trauma healing activities by Ips like ROG,  training on the best agronomic practices",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_12,8,,,,,"A bit of improvement  in agricultural sector due to trainings on best agronomic practices, distribution of small rumints animals like goats to widows & people with disability has improve livelihoods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lack of mechanized agricultural equipments, idqaute health care centers mostly in the uplands, and poor road conditions leads to high materl moterlity rate, poor telecommunication network except chukumdum town.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_12,5,,,,,,,,,"Pest & diseases ( fall army worm affects harvest in April-May), insecurity, high rate of GBVs cases at HHs level, many community members are truamatize due to the loss of their ones, separtion from their children due to the war etc.  How it affects: it create fears among the community and limit access to farms that are far from home areas, led to loss of lives, women are mostly affecetd because they carry great burden of families.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,7,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,5,,,,,,,,,,,,,,"In your opinion, which of these approaches were most helpful? ""Altertive sources of livelihoods like capentry, brick laying, hair dressing, bread making etc""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,11,,,,"He is the deputy youth leader for Budi county, the support the community  by participating in peace dialoque organize by Ips ( CDSS,ROG, CRS); sensitize the youth in different payams on the danger of conflicts, GBVs, rubbery, road ambush,  too much alcohol consumption & advocate for youth participation in farming as well as use of local seeds that resist drought.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,12,,,,"Approaches use includes: peace dialoque with neighboring community facilitated by Ips; community sensitization on the dangers of GBVs; alcohol, road rubbery etc to youths, danger of bush burning, sensitizing youth on good magement skills of their resoruces arcoss the county, training of youth on livelihoods skills and establishment of small business to support livelihoods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,3,,,,,,,,,,,,,,,,,,,"There is little improvement, there is reduced insecurity, increase in produce due to support from IPs like RASS, SCI,CRS etc  & trainings on best agronomic practices as well as provision of agricultural tools",,,,,,,"deputy youth leader, Budi youth association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,2,,,,,,,,,,,,,,,,,,,,,"iccessibility to other Payams and big towns due to bad roads, Poor education system & lack of government scholarship, animal diseases and limited vetinery services, lack of Haffir for animals during dry season, lack of vocatiol training center for the youth & women",,,,,,,,,,,"Main shocks & stressor includes pest & diseases (fall army worm occurred in April-May 2022), prolong dry spell, high rate of alcohol consumptions, insecurity due to cattle raiding, road ambush, rubbery etc; high rate of GBVs cases across the county results into killing, sucide, girl child compensation in case a person is killed during a fight, women are mostly affected by the shocks & stressor compare to men as they take all the family burden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"limited life skills activities across the county, poor hygiene & sanitation , lack of referal pathway for GBV survisors, insecurity, idquate sources of safe drinking water, lack of mechanised equipments like tractor",,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_7,3,,Female,,,,"lack of mechanized agricultural equipments, idqaute health care centers mostly in the uplands, and poor road conditions leads to high materl moterlity rate, poor telecommunication network except chukumdum town.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"What approaches were used to address the impact of the shocks and stressors? Trainings & senisitaization of the community on the danger of GBVs, trauma healing activities by Ips like ROG,  training on the best agronomic practices",,"There is gap in education system, idqaute safe drinking water sources across the county, poor roadnets affects movement mostly during rain seasons and leads to increase of food prices in market",,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_7,9,,,,,"A bit of improvement  in agricultural sector due to trainings on best agronomic practices, distribution of small rumints animals like goats to widows & people with disability has improve livelihoods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_7,4,,,,,,,,RRC secretary for Budi County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pest & diseases ( fall army worm affects harvest in April-May), insecurity, high rate of GBVs cases at HHs level, many community members are truamatize due to the loss of their ones, separtion from their children due to the war etc.  How it affects: it create fears among the community and limit access to farms that are far from home areas, led to loss of lives, women are mostly affecetd because they carry great burden of families.","In your opinion, which of these approaches were most helpful? Trauma healing activities help women & young girl to recover from stress especially in the seleted payams,",,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_9,6,,,,,,,,,"Insecurity incidents in Kikilai  to Uganda road that occurred in May 2022 affects movement & businessmen; long dry spell from  Aug-Dec 2022; bad road networks limits access to other payams & big towns especially during rain season, high transport cost- leads to high market prices,  the effect of shocks & stressor in the county is,  there is increase in the prices of local produces, increase in GBVs cases at HHs due the demand for money women got from cash for work activities. women are mostly affected as they carry the family burden, men resorted to drinking alcohol as it's more cheeper than buying food from the market,",,,,,,,,,,,,,,,,,,,Budi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_9,8,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iam a  business man and deals with supply of constructions materials; we do support the community with building materials that we bring from Uganda; we supply agricultural inputs such as tools, seeds,ox-plough etc","Continuous awareness by IPs to sensitize both men & women on the dangers of GBV, development is affected as many people are traumatize due to lack of jobs, damage of goods on the roads as trucks bringing goods from big towns such as Uganda, Juba can get stuck for a month on the road for businessmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_9,2,,,,,,,,,,,,,,,,,,,,,,"No approaches develop to address increase in the market price; awareness activities on GBVs by some Ips like CRS, CDSS & ROG,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_9,10,,,,,There is a little improvement in the county; increase in sells & purchasing power  & establishment of petty trades due to cash for work support provided by the Ips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No much support from the government, most villages didn't received trainings on agro-best practices; poor education system due to unqualified teachers; lack of structures in some locations; insecurity; Poor hygiene and sanitaion open defeacation in most villages, idqaute safe water sources in some villages where they depends on water from the streams","A business man, Chamber of Commerce",,,,,,,,,,,,,,,,,,,,,,,
Budi_KII_9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poor road networks and telecommunication limits accessibility and limits urgent updates in case of insecurity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example KII: 1_KII_Budi,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pest & diseases such as the fall army worm that happened in April-May 2022, Pronlong dry spell that occurred in August-Oct 2022, hunger experieneced by some HHs; c) women are greatly affected with the shocks & stressors since their main livelihoods activities such as farming was affected hence they have to labor more to get food for the HHs by collecting wild fruits, vegetables, firewood etc, Then men have to go far places looking for green pastures and water for their animals where they get involved in attacks by cattle raider from the neighboring communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jur River,"The mandate of the county education department is to improve the level of education in the county. As the County Education Director, I work in collaboration with the headteachers, payam education supervisors and the parents' teachers' association (PTA) to mobilize community to create awareness on ensuring that all children are sent to school. Currently, Jur River has a total of 275 schools (primary and  secondary). Out of this, only 19 schools are operating under permanent structure, with majority of the schools operating in either semi-permanent structures or under trees. In order to strengthen supervision of all the schools, the county education administration purchased 14  motor bikes for schools supervision. Out of which, 8 motor bikes are for county supervisors and 6 are for the payam supervisors who do weekly supervision.","Locally driven efforts are useful as it enhances community sense of agency and ownership. These include, locally led school feeding program by the community; construction of houses for teachers by community, and contribution to support teachers’ welfare. These approaches can help community to continue supporting the education of their children even without support from government.",,,,,,,,,,,,,,,,,,,,
Jur River_KII_13,9,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The needs especially in the education sector are many. These needs are further worsened by other primary shocks such as food insecurity and hunger. Multi-sectoral integration of programs will be key in building resilience of the community.,,,"•	Peace Corps is one of the organization that support schools here in Jur River county. However, the department of education has been engaging the community to identify local initiatives in order to support education in the county. For instance, encouraging community to build local accommodation structures for teachers; community contribution to provide feeding in schools so that learners can attend classes regularly. 
•	The county has a plan to carry out awareness in the community on the importance of sending children to school despite the challenges.",,,,,,,,,,,,,,,,,,,,,
Jur River_KII_13,11,,,,,"Significant improvement has been noted in Jur River in terms of overall school enrolment of the pupils and students in the last twelve months as a result of the government policy of free education for every child. Teaching has equally improved, due to routine monitoring by the county education department, including weekly school supervision by the payam education supervisors. This year 2023, the enrolment has been nearly 50/50 % between girls and boys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"•	Poor learning infrastructure, as most schools are operated under trees.
•	Lack of WASH facilities e.g., boreholes and pit latrines at schools
•	Lack of school equipment e.g., benches to learners and other learning 
•	Lack of motivation for teachers which affects learning.
•	Limited teacher accommodation facilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_13,5,,,,,,,,"Director for Education, County Department of Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_13,7,,,,,,,,,"•	Major shocks include: hunger and food insecurity as a result of rain-fed agriculture; economic shock characterized by high commodity prices nearly on daily basis especially in the last 12 months; gender base violence, prolonged dry spells (rain starts late – June and stops early – October yearly).

•	Hunger has contributed to dropouts of children out of school, and left vulnerable people resort to negative copping mechanism like robbery. Economic shocks have contributed to domestic gender base violence and deepened. 

•	Women are affected more as compared to men because they shoulder most of the family responsibility. Men are depressed due to failure to provide for the family. Girl child forced to drop out of school and forced to marry in order for the family to survive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_14,2,,,,,,,,,,,,,,,,,,"Community in the  floods prone areas normally take refugee in the high lands which however has no consumption water. Others migrate to nearby counties for shelter.  Most of the flood affected population survive on wild foods (wild yams, fruits, leaves, roots, honey etc) untill they get exterl assistance from NGOs through the effeorts of RRC and sometimes there are no assistance at all given that this case repeat yearly.",,,,,,,,,,,,,,,,,,,,,,Jur River,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_14,10,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jur River_KII_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The mandate of Relief and Rehabilitation Commission at county level is to coordite and direct deployment of Non-Governmental Organizations to areas of needs in the county; identify needs during emergencies, initiate projects and determine targets for humanitarian interventions. The RRC enumerator collect information on humanitarian needs as a result of tural disasters and manmade hazards and mobilize partners through coordition meetings in order to respond.","In some parts of the county, the community buid dykes, ….............",,,,,,,,,,,,,,,,,,
