KII ID,row,Intervention Type/Peacebuilding,Programming Gaps/Peacebuilding,Shocks/Flood,Programming Gaps/Agriculture,Stresses/Conflict,Intervention Type/Nutrition,Shocks/Financial,Intervention Type/Agriculture,Programming Gaps/Education,Shocks/Pests,Intervention Type/Protection,Programming Gaps/WASH,Intervention Type/Livelihoods,Programming Gaps/Life Skills,Shocks/Drought,Programming Gaps/Infastructure,Intervention Type/Infrastructure,Stresses/Security Issues,Stresses/Poverty,Intervention Type/Economic,Programming Gaps/Protection,Shocks/Medical Condition,Programming Gaps/Health,Intervention Type/Education,Programming Gaps/Coordination,Intervention Type/Health services,Intervention Type/WASH,Programming Gaps/Infrastructure,Programming Gaps/Violence Prevention,Programming Gaps/Life skills,Programming Gaps/Nutrition,Vulnerable Population/Women,Vulnerable Populations/Youth,Stresses/Drought,Perception of Stresses/Worsened,Programming Gaps/M&E,Vulnerable Populations/Children,Pereption of Stresses/Worsened
Budi_KII_9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No approaches develop to address increase in the market price; awareness activities on GBVs by some Ips like CRS, CDSS & ROG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budi_KII_9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No much support from the government, most villages didn't received trainings on agro-best practices; poor education system due to unqualified teachers; lack of structures in some locations; insecurity; Poor hygiene and sanitaion open defeacation in most villages, inadqaute safe water sources in some villages where they depends on water from the streams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Example KII: 1_KII_Budi,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pest & diseases such as the fall army worm that happened in April-May 2022, Pronlong dry spell that occurred in August-Oct 2022, hunger experieneced by some HHs; c) women are greatly affected with the shocks & stressors since their main livelihoods activities such as farming was affected hence they have to labor more to get food for the HHs by collecting wild fruits, vegetables, firewood etc, Then men have to go far places looking for green pastures and water for their animals where they get involved in attacks by cattle raider from the neighboring communities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_13,4,NA,NA,NA,NA,NA,NA,NA,NA,"•	Poor learning infrastructure, as most schools are operated under trees.
•	Lack of WASH facilities e.g., boreholes and pit latrines at schools
•	Lack of school equipment e.g., benches to learners and other learning 
•	Lack of motivation for teachers which affects learning.
•	Limited teacher accommodation facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"•	Major shocks include: hunger and food insecurity as a result of rain-fed agriculture; economic shock characterized by high commodity prices nearly on daily basis especially in the last 12 months; gender base violence, prolonged dry spells (rain starts late – June and stops early – October yearly).

•	Hunger has contributed to dropouts of children out of school, and left vulnerable people resort to negative copping mechanism like robbery. Economic shocks have contributed to domestic gender base violence and deepened. 

•	Women are affected more as compared to men because they shoulder most of the family responsibility. Men are depressed due to failure to provide for the family. Girl child forced to drop out of school and forced to marry in order for the family to survive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The main challenges or gaps include:
•	Health: Currently, only Johanniter International and Cordaid are the ones providing health care in Jur River, and only few health facilities are supported. There’s need for more partners to strengthen the health sector so that children and pregnant women can access health care services in Jur River County.
•	In addition, during rainy season, and when flooding happens, there is high incidence of malaria among children and old people because there are no mosquito nets.
•	Water: There are few functional boreholes in Jur River county. 
•	Education: There are only few schools in Jur River with school structures. Majority of the schools are under trees and during rain season, learning is disrupted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_14,2,NA,NA,"Major shocks and stresses include: Floods that happens every year; prolonged dry spell which is always followed by floods between August and October each year, destroying crops, affects livestock and erodes existing livelihoods of the community, resulting in food insecurity and hunger. GBV, Health shocks as a result of floods increasing malaria incidence. Some of the stresses include: high commodity prices and poor essential service delivery.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.	Floods: Digging of water passage channels around homes; relocating to higher grounds; relief aid.
2.	Prolonged dry spell: Provision of vegetable seeds, tools and training; small scale businesses e.g., bread baking, tailoring. 
3.	High commodity prices (economic shock): Economic empowerment of women and youths through training and provision of start-up kits; VSLA Training/kits; reducing expenditures in order to buy food; reducing the number of meals per day from 2 to 1.
4.	GBV (including forced marriages): Raising awareness among women and girls.","1.	Education – not many women and girls have attended school for many reasons including poverty, negative cultural beliefs.
2.	NFIs for floods affected population.
3.	Poor health services 
4.	GBV prevention services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.	Economic empowerment of women and youths through training and provision of start-up kits and VSLA Training/kits support have been helpful in helping women become self-reliant.
2.	Vocational skills training in bread baking, tailoring – women are now able to earn from these businesses. 
3.	Provision of vegetable seeds, tools, and training – has provided alternative sources of food and income especially during prolonged dry spell.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Main shocks include; Floods happen every year and always destroy houses, crops, and livestock; prolonged dry spell, every year; high commodity prices (economic shock) affects people on daily basis; GBV, mainly forced marriages as a result of the impact of other primary shocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_16,7,NA,NA,NA,NA,NA,NA,NA,"1.	Cash/Food for asset – encouraged youths to work and enabled youths to have access to income that reduced vulnerability.
2.	Engaging youths in agriculture, especially training youths on the use of ox ploughs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_16,8,NA,NA,NA,NA,NA,NA,NA,"1.	Cash/Food for asset – encouraged youths to work and enabled youths to have access to income that reduced vulnerability.
2.	Engaging youths in agriculture, especially training youths on the use of ox ploughs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_16,4,NA,NA,NA,"1.	Few youths targeted with vocational training opportunities.
2.	Few cattle and ox ploughs
3.	Limited economic empowerment opportunities for youths",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_16,3,NA,NA,"1.	Major shocks include: conflict between farmers and cattle keepers in 2019 to 2020 – crops destroyed and displaced farmers.
2.	Floods – August to October every year.
3.	Economic shock – due to limited economic opportunities for youths and high level of unemployment among the youths.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The county agriculture development work closely with community to provide them with skills on best agriculture practices, and how to control pest and diseases. They liase with IPs like FAO, to support farmers with trainings and agricultural inputs. Hope agent for relief and development (HARD), Agency for Technical Cooperation and Development (ACTED) and JOHANNITER support the community of Jur River in various ways including food security and livilihood. Training  of small scale business and Village saving loan association.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_17,4,NA,NA,"The county agriculture development has been doing a lot of awareness to the community to be resilience interms of producing their own seeds and not relying on external help and majority of people are already doing so. Communities are slowly moving out from waiting for assisstance to being independent. If not because of the freequent  flood,  Jur River used not to depend on humanitarian aids.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Climent change and disease. ( long dry spell and flood) affect agriculture seasons so much. Some adaptive seeds that are being brought from outside the country sometimes get affected by the climent.  The rain normally delays like now it is  the month of May and there is no rain yet, and shortly between September there will be too mcuh rain that may lead to floodings. These changes destroys most long term  crops like type two maize and  sorghum                                                                                                                                                              The high risk flood affected areas in Jur River are Marial Bai, Udici, some parts of Kangi and some bomas like Mbili in Kuajieno. These areas get affected yearly and causes migrations in the county. Natural disaster affects both men and women but obviously it has much effect on children and elderly people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_17,5,NA,NA,NA,"During lean seasons, majority of the community depends on wild roots and vegetables. Those days they used to depend on world food program which has stopped already. With the two common natural disaster in Jur River, there is little realization of development however, the community are not giving up on trying to adapt to the circumstances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jur River_KII_18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The situation remains the same because the government has no capacity to support health facilities with drugs and this calls for donors intervention.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_19,9,NA,NA,NA,NA,NA,NA,NA,Approaches used were peace dialogue among the communities involved in the raiding and early preparation of farm land while waiting for rainy season.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_19,10,NA,NA,NA,NA,NA,NA,NA,"There is a change in the County because in the past, people were not practicing kitchen gardens but now most of the households have the kitchen garden in their compounds. The community has open school farm fields in 4 out of 7 primary schools such as Choroi, Karukomunge, Riwoto, and ST Mary primary schools. The community members have taken their children to school both boys and girls yet in the past year's girls were not considered due to sensitization from education partners, now the community has known the importance of girl child education. The youths are now engaged in doing small business in the county not like before hencefored, there is much improvement in Kapoeta North in last 12 months compared to last years back.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_19,7,NA,NA,NA,NA,"The main shocks and stressors are Cattle raiding amongest the neighbours communities of Murle, Buya Tenent and Drought ( Long dryspell) which are not frequently practice. The county was affected during cattle raiding where members lost lives and resources (Cattles) which is main source of income in the county, while  youths, men and women became traumatized after losing their loved ones and cattles. The incident increased the number of widows in the county.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes, there is a lot of improvement because the County has improved in terms of service delivery in the business sector. Many people have known the importance of business, education, and agriculture in the entire County and most households have sent their children to school both girls and boys than before where the boys were accepted only to be taken to school.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_20,8,NA,NA,NA,NA,"The economy in terms of dollar rates frequently raises up and down hence affecting business people when they need to restock their shops and later they sell at losses.  when the dollar rate raises up, reduces the supply of goods in the County.                                                                                                                                                                                                  Insecurity is stressful to businessmen who purchase their goods from Juba and end up being attacked along the way by robbers leading to loss of lives and properties. henceforth slows business in the County.                                                                                                                                                                                       Impassable roads during the rainy season delay business people's goods from reaching on time due to muddy and flowing rivers along the road keeping them overstaying in the bush. cattle raiding and drought which made most of the members migrate from the County in search of a peaceful place and green pasture for their animals.                                                 Increment of taxes by the county government leads to a rise in prices which affects the community.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_20,5,NA,NA,Taxes were reduced                                                                                                                                                                                         Being friendly to people in the trading center                                                                                                                                                     Wait until the rivers and the roads dry up                                                                                                                                           Purchase enough goods and services during the dry season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There is a need for the partners to be quick in response to shocks like flooding, wildfire, and heavy winds. When information is passed to the partners, they tend to delay during intervention  and most of the Payams were affected by flooding too but there was no help at all.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapoeta North_KII_21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cattle Raiding and Drought                                                                                                                                                                                                                                              During cattle raiding, many people lost their lives and properties causing trauma to youths who lost their colleagues during raiding and women lost their husbands and their relatives as well.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
